,Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
0,iDnes.cz 100% Corpus,0,15,200,5,8,30,0.0001,0,0.0603692369068516,0.3081145421458048,-0.0119581335881701,0.8401459959429313,18.69688385269122,0.0
3,iDnes.cz 100% Corpus,0,5,100,20,3,25,1e-05,0,0.0679671884756229,0.2282740317696655,0.0157159140793255,0.7807956932877379,10.48158640226629,0.0
4,iDnes.cz 100% Corpus,1,10,250,4,12,20,0.0001,0,0.5556056965219291,3.4327835699984664e-23,0.5518246168271879,7.738622983079646e-23,23.79603399433428,0.0373641304347826
6,iDnes.cz 100% Corpus,0,5,158,1,0,25,0.01,0,0.022774775658932,0.6820385650183645,0.001958177912617,0.9719042747072086,7.64872521246459,0.0
7,iDnes.cz 100% Corpus,1,15,450,1,8,25,0.1,0,0.2803841116612977,1.389979144597176e-06,0.2584209674745719,9.234006990362006e-06,18.69688385269122,0.0020222446916076
8,iDnes.cz 100% Corpus,1,10,200,1,8,20,1e-05,0,0.1427355481446276,0.0155229010530885,0.2412693175328521,3.616474342701551e-05,18.69688385269122,0.019211324570273
9,iDnes.cz 100% Corpus,1,5,200,2,12,20,0.01,0,0.4484688483255402,1.0264225443816539e-14,0.4526168040430925,5.439607860329733e-15,23.79603399433428,0.0129076086956521
10,iDnes.cz 100% Corpus,0,5,200,16,5,25,1e-05,0,-0.0053065960220453,0.9264630027818848,-0.0661935409658631,0.2490999839070025,13.59773371104816,0.0
11,iDnes.cz 100% Corpus,0,10,300,16,12,20,0.0001,0,0.0918924237494501,0.1327586778977119,-0.013546356723516,0.8249738615105867,23.79603399433428,0.0
12,iDnes.cz 100% Corpus,0,5,158,12,8,30,0.01,0,0.0719396785042479,0.2243693257166875,0.0089740571651087,0.879684062735478,18.69688385269122,0.0
13,iDnes.cz 100% Corpus,1,10,158,20,0,25,0.0,0,0.5698608689167374,1.8280795691727392e-29,0.5634433104787278,1.0484673240312955e-28,7.64872521246459,0.0194881889763779
14,iDnes.cz 100% Corpus,1,10,450,4,8,20,1e-05,0,0.3057590516494335,1.2613623037306865e-07,0.352815449586938,7.754084586870246e-10,18.69688385269122,0.0197168857431749
16,iDnes.cz 100% Corpus,1,5,300,2,8,20,0.001,0,0.4435777016157742,2.8944237559528828e-15,0.4488061600419624,1.247692382673261e-15,18.69688385269122,0.0146612740141557
17,iDnes.cz 100% Corpus,0,15,250,5,3,25,0.0,0,0.1072896542602231,0.0567583589561918,0.0374008331055852,0.5076836263542623,10.48158640226629,0.0
18,iDnes.cz 100% Corpus,1,10,158,20,5,30,0.0001,0,0.5905445965689254,4.6825794175565735e-30,0.6086543134398356,2.6676530908756965e-32,13.59773371104816,0.0332823259372609
21,iDnes.cz 100% Corpus,1,15,250,5,5,25,0.001,0,0.5133928828681109,6.557458190689059e-22,0.5306801412889735,1.4791245411605532e-23,13.59773371104816,0.0225707727620505
22,iDnes.cz 100% Corpus,0,5,158,8,3,20,1e-05,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
23,iDnes.cz 100% Corpus,0,10,158,4,1,20,0.01,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
24,iDnes.cz 100% Corpus,1,15,158,20,0,25,0.01,0,0.5693060067400184,2.1292985725805482e-29,0.5653270197876105,6.303950632968844e-29,7.64872521246459,0.0200787401574803
25,iDnes.cz 100% Corpus,1,15,250,8,12,20,0.01,0,0.5311584287052182,5.510755966336376e-21,0.5365344895674472,1.868520734783687e-21,23.79603399433428,0.0285326086956521
26,iDnes.cz 100% Corpus,1,15,300,16,8,20,1e-05,0,0.5539684845647469,1.7474424944458788e-24,0.545644351246889,1.1501693620086045e-23,18.69688385269122,0.0197168857431749
27,iDnes.cz 100% Corpus,1,10,200,20,2,20,0.0001,0,0.5900515366380611,1.3744226798908338e-31,0.575851211252885,7.787328103087294e-30,8.78186968838527,0.022801302931596
28,iDnes.cz 100% Corpus,0,15,450,20,2,25,0.01,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
29,iDnes.cz 100% Corpus,0,15,450,16,1,20,0.0001,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
31,iDnes.cz 100% Corpus,1,10,158,20,12,25,0.01,0,0.5333908518880071,3.525158943978498e-21,0.5407966630170457,7.817989456256259e-22,23.79603399433428,0.0427989130434782
33,iDnes.cz 100% Corpus,0,5,50,12,5,25,0.01,0,0.0774376782276058,0.1773806233740311,0.071132325332181,0.2154412658337266,13.59773371104816,0.0
34,iDnes.cz 100% Corpus,1,10,100,16,0,30,1e-05,0,0.5454519597988874,1.151870271208532e-26,0.534062675380701,1.9547947647228995e-25,7.64872521246459,0.0108267716535433
35,iDnes.cz 100% Corpus,0,10,300,2,5,20,0.1,0,0.1047501732857958,0.0677147379473342,0.0440087685950244,0.4437980938832616,13.59773371104816,0.0
36,iDnes.cz 100% Corpus,1,5,100,5,0,20,0.01,0,0.4883278334594969,6.127872540287662e-21,0.4936989603286403,1.9664260790511657e-21,7.64872521246459,0.0124015748031496
37,iDnes.cz 100% Corpus,0,15,158,4,2,20,0.0001,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
38,iDnes.cz 100% Corpus,1,10,450,12,5,25,0.01,0,0.5630499895461578,6.600823173005253e-27,0.5625870483550562,7.415330526820774e-27,13.59773371104816,0.0237184391736801
39,iDnes.cz 100% Corpus,1,5,158,12,2,25,0.0001,0,0.5882344686198637,2.329696282188622e-31,0.5661554575346157,1.097279766069292e-28,8.78186968838527,0.0167877724880982
40,iDnes.cz 100% Corpus,0,10,450,2,12,25,0.01,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
42,iDnes.cz 100% Corpus,0,15,158,8,2,25,0.1,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
43,iDnes.cz 100% Corpus,0,5,158,8,0,30,0.001,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
44,iDnes.cz 100% Corpus,0,15,200,8,1,20,0.001,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
45,iDnes.cz 100% Corpus,1,5,100,16,8,30,0.0001,0,0.5646144620136381,1.4514417707263909e-25,0.5724413930597648,2.1983481212225688e-26,18.69688385269122,0.0399393326592517
46,iDnes.cz 100% Corpus,1,15,450,5,12,25,0.001,0,0.4844272077859994,3.1028531730474866e-17,0.4939552935784443,5.929378457499409e-18,23.79603399433428,0.014266304347826
47,iDnes.cz 100% Corpus,0,5,450,20,3,20,0.0001,0,0.0519076143299379,0.3577330073202929,-0.0265632224225705,0.638062186726347,10.48158640226629,0.0
52,iDnes.cz 100% Corpus,1,15,158,2,0,30,0.01,0,0.4199045677533833,2.344548931235187e-15,0.4311366740517411,3.4489843318097213e-16,7.64872521246459,0.0029527559055118
53,iDnes.cz 100% Corpus,1,15,50,16,2,25,0.01,0,0.576797060708474,5.9876227169612656e-30,0.5763472312762848,6.785482746866222e-30,8.78186968838527,0.01628664495114
54,iDnes.cz 100% Corpus,1,5,50,2,5,25,0.0001,0,0.5057930628843834,3.246906878204064e-21,0.5070503610575947,2.4987947306159297e-21,13.59773371104816,0.01185921958684
57,iDnes.cz 100% Corpus,1,10,100,2,5,20,0.0001,0,0.4732591811544023,1.982410071456652e-18,0.4813383991498108,4.294109718305735e-19,13.59773371104816,0.0179801071155317
58,iDnes.cz 100% Corpus,0,10,300,8,12,30,1e-05,0,0.1303895533057769,0.0325392087331584,0.0475783953095777,0.4370702612013544,23.79603399433428,0.0
59,iDnes.cz 100% Corpus,1,10,250,4,5,20,0.01,0,0.4969882574694931,1.9721883889274318e-20,0.5082540760791363,1.942661027447587e-21,13.59773371104816,0.0214231063504208
60,iDnes.cz 100% Corpus,1,10,300,16,8,30,1e-05,0,0.5883838675997185,4.0085074268893076e-28,0.5741386388742594,1.4502512515520548e-26,18.69688385269122,0.0414560161779575
61,iDnes.cz 100% Corpus,1,5,300,16,1,25,1e-05,0,0.430829383052336,3.638126392291553e-16,0.429687480386509,4.434386537674098e-16,7.64872521246459,0.0041338582677165
63,iDnes.cz 100% Corpus,1,10,250,20,1,20,0.0,0,0.5582258229588246,4.2189540327780165e-28,0.5479664832463191,6.07494116451406e-27,7.64872521246459,0.0157480314960629
64,iDnes.cz 100% Corpus,1,15,200,20,5,25,1e-05,0,0.5758054497437445,2.486070466325073e-28,0.5631567616839447,6.4258726517561896e-27,13.59773371104816,0.0313695485845447
66,iDnes.cz 100% Corpus,0,15,450,8,2,20,0.01,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
67,iDnes.cz 100% Corpus,0,15,300,20,5,30,0.1,0,0.1047501732857958,0.0677147379473342,0.0440087685950244,0.4437980938832616,13.59773371104816,0.0
68,iDnes.cz 100% Corpus,1,15,50,20,5,20,0.0,0,0.5768570227767655,1.8850354371525438e-28,0.5777679841485174,1.481993970157913e-28,13.59773371104816,0.021805661820964
69,iDnes.cz 100% Corpus,0,15,450,12,1,25,0.001,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
70,iDnes.cz 100% Corpus,1,5,50,4,0,30,0.1,0,0.5279213786108035,8.611247331423752e-25,0.5345025596911321,1.7557760617965083e-25,7.64872521246459,0.0179133858267716
71,iDnes.cz 100% Corpus,1,10,100,1,12,20,0.001,0,0.3085680624589804,2.4187963492499904e-07,0.3046614035075067,3.483924757888015e-07,23.79603399433428,0.0122282608695652
72,iDnes.cz 100% Corpus,1,10,250,20,5,20,0.01,0,0.5680702464496306,1.8470665706766128e-27,0.578121570149223,1.349607733646154e-28,13.59773371104816,0.0298393267023718
73,iDnes.cz 100% Corpus,1,10,100,1,2,20,0.0,0,0.3695752603792553,7.383143602488389e-12,0.3624127168795215,1.9817579296968303e-11,8.78186968838527,0.0045101478326234
74,iDnes.cz 100% Corpus,1,5,50,8,5,20,0.1,0,0.5537886516142259,6.540889061874943e-26,0.5495620989714012,1.8195548787928823e-25,13.59773371104816,0.0309869931140015
75,iDnes.cz 100% Corpus,1,5,50,1,0,25,0.1,0,0.3403565704998397,2.7704893009341633e-10,0.3323086973045674,7.619100818835704e-10,7.64872521246459,0.0037401574803149
76,iDnes.cz 100% Corpus,1,15,250,16,5,25,0.1,0,0.571421673520334,7.797231450842974e-28,0.5797177825495384,8.833517736487721e-29,13.59773371104816,0.0225707727620505
77,iDnes.cz 100% Corpus,1,15,158,20,0,30,0.0,0,0.5798975057627211,1.1010989747620237e-30,0.5790216228315747,1.4125033472658599e-30,7.64872521246459,0.0214566929133858
79,iDnes.cz 100% Corpus,1,5,250,12,2,25,0.1,0,0.557815111307425,9.971682354207928e-28,0.5409321204751332,7.216844848443693e-26,8.78186968838527,0.0185417188674517
80,iDnes.cz 100% Corpus,1,10,250,2,3,25,1e-05,0,0.3199715767678383,5.916869097288242e-09,0.3548160910092158,8.309669635769732e-11,10.48158640226629,0.0171851851851851
81,iDnes.cz 100% Corpus,0,15,158,5,1,25,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
82,iDnes.cz 100% Corpus,0,15,300,5,0,20,0.1,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
83,iDnes.cz 100% Corpus,1,15,100,5,3,25,0.0001,0,0.5419181165386437,1.6204873853021697e-25,0.5400052728724454,2.5741793980927426e-25,10.48158640226629,0.0275555555555555
84,iDnes.cz 100% Corpus,0,5,100,4,2,25,0.01,0,0.0531603238629307,0.3416598759439638,0.0142361341063758,0.7991265079548873,8.78186968838527,0.0
85,iDnes.cz 100% Corpus,0,10,250,20,1,30,0.1,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
86,iDnes.cz 100% Corpus,0,10,158,1,3,25,1e-05,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
88,iDnes.cz 100% Corpus,0,5,450,12,12,30,0.1,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
90,iDnes.cz 100% Corpus,1,5,450,12,8,20,0.001,0,0.5610211661156581,3.3953591037136326e-25,0.5513789963691694,3.1581550230064414e-24,18.69688385269122,0.0227502527805864
91,iDnes.cz 100% Corpus,0,15,300,8,3,20,0.01,0,0.1300240053319067,0.0207765432537697,0.1005042688258398,0.0744167514523903,10.48158640226629,0.0
92,iDnes.cz 100% Corpus,0,10,100,4,8,20,0.0,0,-0.0618906722064453,0.29605960907587,-0.1237656927678623,0.0361143960349587,18.69688385269122,0.0
93,iDnes.cz 100% Corpus,0,10,200,8,3,30,0.001,0,0.0538772921142466,0.3397588807550694,-0.0134839310247202,0.8112943539584446,10.48158640226629,0.0
95,iDnes.cz 100% Corpus,1,10,200,2,8,20,0.1,0,0.4338475040177798,1.3340928662104671e-14,0.4416874740304284,3.9097351749444496e-15,18.69688385269122,0.0166835187057633
97,iDnes.cz 100% Corpus,0,5,200,12,0,30,0.01,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
98,iDnes.cz 100% Corpus,1,15,250,1,2,30,1e-05,0,0.4597556576529871,3.0259860137652887e-18,0.4600440145939986,2.8656841217065885e-18,8.78186968838527,0.022801302931596
101,iDnes.cz 100% Corpus,1,15,50,1,3,30,0.01,0,0.3558360881394685,7.274909241418102e-11,0.339471920572057,5.805699989956093e-10,10.48158640226629,0.0062222222222222
102,iDnes.cz 100% Corpus,0,15,300,12,0,20,0.0001,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
103,iDnes.cz 100% Corpus,1,10,300,1,2,30,0.0001,0,0.386928871380441,6.087692243744326e-13,0.3892100189262998,4.336688875033376e-13,8.78186968838527,0.0020045101478326
104,iDnes.cz 100% Corpus,1,10,250,20,3,20,0.0001,0,0.597956729024574,5.06478216003652e-32,0.5936616663266499,1.7728677764074063e-31,10.48158640226629,0.0257777777777777
107,iDnes.cz 100% Corpus,1,15,200,5,2,20,0.001,0,0.4937819551920827,3.39919555950614e-21,0.5091627568459705,1.2194689055008624e-22,8.78186968838527,0.0240541217739914
109,iDnes.cz 100% Corpus,1,5,200,2,2,20,0.01,0,0.3911631481221969,3.2369489712782546e-13,0.4083405766983539,2.2710230201347363e-14,8.78186968838527,0.0067652217489351
111,iDnes.cz 100% Corpus,1,5,450,2,0,20,1e-05,0,0.0111869984574234,0.8405289346027395,0.092282714018166,0.0962406496129269,7.64872521246459,0.0059055118110236
113,iDnes.cz 100% Corpus,1,5,158,1,1,25,0.01,0,0.3839821665470618,6.790213124066425e-13,0.3692184546057451,5.753882976178532e-12,7.64872521246459,0.0011811023622047
115,iDnes.cz 100% Corpus,0,15,300,12,2,30,0.01,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
119,iDnes.cz 100% Corpus,1,15,100,2,1,25,0.001,0,0.3975308329684905,8.672003057675755e-14,0.4129490164605993,7.415741645612949e-15,7.64872521246459,0.0084645669291338
120,iDnes.cz 100% Corpus,1,5,250,12,3,25,0.001,0,0.5561371711630032,4.7261222042727056e-27,0.545037407781039,7.570342284789096e-26,10.48158640226629,0.0195555555555555
121,iDnes.cz 100% Corpus,0,10,200,8,1,30,0.001,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
122,iDnes.cz 100% Corpus,1,5,250,12,8,30,0.01,0,0.5638002131485256,1.7612842685817758e-25,0.5657625645323822,1.1038786935973122e-25,18.69688385269122,0.0273003033367037
123,iDnes.cz 100% Corpus,0,5,450,16,5,30,0.01,0,0.0439318924887473,0.4445953597574844,-0.0622956359628671,0.2781285605431332,13.59773371104816,0.0
124,iDnes.cz 100% Corpus,1,10,158,20,1,30,0.0,0,0.565050111292501,6.794857356775604e-29,0.5601918034203229,2.503929424589717e-28,7.64872521246459,0.0171259842519685
125,iDnes.cz 100% Corpus,0,5,450,1,2,20,0.1,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
127,iDnes.cz 100% Corpus,1,15,100,2,0,25,0.001,0,0.419277415734676,2.6039165231422386e-15,0.4296287714175183,4.479649606653244e-16,7.64872521246459,0.0074803149606299
128,iDnes.cz 100% Corpus,0,5,158,8,1,20,0.001,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
129,iDnes.cz 100% Corpus,1,10,200,1,0,20,0.0,0,0.3521484650178122,5.965334561989706e-11,0.3400129073178938,2.8945268624824655e-10,7.64872521246459,0.0013779527559055
131,iDnes.cz 100% Corpus,1,15,250,16,1,25,0.001,0,0.5719490707502167,1.0270009112096772e-29,0.56773876345181,3.2708801229714116e-29,7.64872521246459,0.0187007874015748
132,iDnes.cz 100% Corpus,1,10,100,5,1,20,0.0,0,0.4880181442243124,6.538938944171133e-21,0.4995251760654637,5.601286175384592e-22,7.64872521246459,0.0155511811023622
133,iDnes.cz 100% Corpus,1,5,50,4,1,30,0.01,0,0.5029494198853962,2.6475281210381223e-22,0.516928315575403,1.136417282494366e-23,7.64872521246459,0.014763779527559
134,iDnes.cz 100% Corpus,1,5,50,8,2,30,0.01,0,0.5827914057545114,1.1097809520438106e-30,0.5735215345995035,1.4822927298612266e-29,8.78186968838527,0.0167877724880982
135,iDnes.cz 100% Corpus,1,10,100,5,0,20,0.001,0,0.4803126088629907,3.2208002004309736e-20,0.4909872640559103,3.499312230733222e-21,7.64872521246459,0.0200787401574803
136,iDnes.cz 100% Corpus,1,5,200,2,12,25,1e-05,0,0.3757489795385111,1.9032758825351158e-10,0.3966805168616398,1.4292633131677056e-11,23.79603399433428,0.0203804347826086
137,iDnes.cz 100% Corpus,0,10,158,2,0,25,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
138,iDnes.cz 100% Corpus,0,15,50,16,5,30,0.0001,0,0.0774376782276058,0.1773806233740311,0.071132325332181,0.2154412658337266,13.59773371104816,0.0
139,iDnes.cz 100% Corpus,1,5,200,12,3,25,0.1,0,0.5594097784254415,2.044862980799563e-27,0.5503425983776898,2.0368932536936755e-26,10.48158640226629,0.0231111111111111
140,iDnes.cz 100% Corpus,0,5,300,1,3,25,1e-05,0,0.1300240053319067,0.0207765432537697,0.1005042688258398,0.0744167514523903,10.48158640226629,0.0
142,iDnes.cz 100% Corpus,0,5,250,12,0,25,0.001,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
143,iDnes.cz 100% Corpus,0,15,450,8,12,25,0.001,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
144,iDnes.cz 100% Corpus,1,10,100,8,1,20,0.01,0,0.535398106947921,1.4103310153720014e-25,0.5311384838131287,3.975260604414048e-25,7.64872521246459,0.0206692913385826
146,iDnes.cz 100% Corpus,1,15,100,12,0,20,1e-05,0,0.350452366033349,7.469345432858467e-11,0.3582294864365324,2.6346357172538423e-11,7.64872521246459,0.0072834645669291
148,iDnes.cz 100% Corpus,0,10,200,5,2,25,1e-05,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
149,iDnes.cz 100% Corpus,1,5,200,12,12,30,0.0001,0,0.5875942430057219,2.294910528764323e-26,0.5870526656095643,2.614955803656368e-26,23.79603399433428,0.0373641304347826
150,iDnes.cz 100% Corpus,1,10,50,16,2,20,0.1,0,0.5729110147200098,1.7531714278633557e-29,0.5643431872752084,1.7819260288538482e-28,8.78186968838527,0.0142821348033074
152,iDnes.cz 100% Corpus,0,5,450,20,2,25,1e-05,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
153,iDnes.cz 100% Corpus,1,10,158,5,8,20,0.1,0,0.523014642712689,1.492769914662476e-21,0.5290104793015157,4.260441036838672e-22,18.69688385269122,0.0207280080889787
154,iDnes.cz 100% Corpus,1,5,250,20,8,25,0.0001,0,0.594289770440677,8.590493964741038e-29,0.5981554158969492,3.0806223373454285e-29,18.69688385269122,0.0434782608695652
156,iDnes.cz 100% Corpus,1,10,200,5,1,25,0.001,0,0.4975144120063345,8.663534973300725e-22,0.5041747878632828,2.0206262052213061e-22,7.64872521246459,0.014763779527559
157,iDnes.cz 100% Corpus,0,15,200,1,8,30,0.01,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
159,iDnes.cz 100% Corpus,1,15,200,2,12,25,0.0,0,0.410425312063313,2.3581894830705546e-12,0.4104016513638441,2.3656844740049944e-12,23.79603399433428,0.0081521739130434
161,iDnes.cz 100% Corpus,0,5,450,20,12,20,0.1,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
162,iDnes.cz 100% Corpus,1,5,450,1,12,30,0.0001,0,0.3485321529431986,4.229105925389881e-09,0.338154312755075,1.279524544000448e-08,23.79603399433428,0.0033967391304347
164,iDnes.cz 100% Corpus,1,15,200,20,5,30,0.01,0,0.5551827855622518,4.652469271091007e-26,0.5734359212152288,4.621331444218953e-28,13.59773371104816,0.0229533282325937
167,iDnes.cz 100% Corpus,1,5,450,5,5,30,0.1,0,0.5071100970226853,2.467828418008517e-21,0.5208213938207295,1.3201849766601345e-22,13.59773371104816,0.0179801071155317
168,iDnes.cz 100% Corpus,1,5,450,16,0,25,0.1,0,0.5521318171570506,2.080034241592356e-27,0.537328729794254,8.774706518692544e-26,7.64872521246459,0.0169291338582677
169,iDnes.cz 100% Corpus,0,10,100,5,12,20,1e-05,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
171,iDnes.cz 100% Corpus,0,5,158,1,1,25,0.0001,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
172,iDnes.cz 100% Corpus,1,10,50,20,0,25,0.001,0,0.5626751883991206,1.2889737653193582e-28,0.5597934829817433,2.783883098081178e-28,7.64872521246459,0.0179133858267716
