,Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
173,iDnes.cz 100% Corpus,1,5,200,16,8,25,0.01,0,0.5660188978117381,1.0382847070559266e-25,0.5668778177264735,8.452787444378536e-26,18.69688385269122,0.0338725985844287
174,iDnes.cz 100% Corpus,0,10,100,20,12,30,1e-05,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
176,iDnes.cz 100% Corpus,1,5,100,12,0,25,0.1,0,0.5484083498051595,5.4259044179926634e-27,0.5319449961098527,3.270719182978329e-25,7.64872521246459,0.01751968503937
177,iDnes.cz 100% Corpus,0,10,300,12,8,30,0.0001,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
180,iDnes.cz 100% Corpus,0,10,450,4,2,30,0.001,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
181,iDnes.cz 100% Corpus,0,5,200,5,2,20,0.0001,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
182,iDnes.cz 100% Corpus,0,10,100,5,5,20,1e-05,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
183,iDnes.cz 100% Corpus,0,15,300,2,3,30,0.01,0,0.1300240053319067,0.0207765432537697,0.1005042688258398,0.0744167514523903,10.48158640226629,0.0
184,iDnes.cz 100% Corpus,0,5,200,16,12,25,0.1,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
185,iDnes.cz 100% Corpus,1,5,450,5,8,30,0.0001,0,0.5527633210123678,2.303057617200823e-24,0.5583085918869396,6.4054819110071205e-25,18.69688385269122,0.0338725985844287
188,iDnes.cz 100% Corpus,0,10,100,8,3,25,0.001,0,0.1813478887825036,0.0012044551783315,0.1292230339223757,0.0215813065198326,10.48158640226629,0.0
189,iDnes.cz 100% Corpus,1,10,100,1,3,20,0.001,0,0.3585109394439214,5.121361004724638e-11,0.3548377681320839,8.286258148729264e-11,10.48158640226629,0.0038518518518518
192,iDnes.cz 100% Corpus,0,15,50,2,2,20,0.01,0,0.1416429403095265,0.0109387571690379,0.1203801058963536,0.0308034646995239,8.78186968838527,0.0
193,iDnes.cz 100% Corpus,0,5,158,20,0,20,1e-05,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
195,iDnes.cz 100% Corpus,0,10,50,8,3,30,0.0001,0,0.0844160987028768,0.1343047067016611,0.0733692647500747,0.193318086857849,10.48158640226629,0.0
196,iDnes.cz 100% Corpus,0,15,450,20,5,20,0.001,0,0.0439318924887473,0.4445953597574844,-0.0622956359628671,0.2781285605431332,13.59773371104816,0.0
197,iDnes.cz 100% Corpus,0,10,200,8,8,20,0.001,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
199,iDnes.cz 100% Corpus,1,5,450,8,1,20,0.1,0,0.5118271639683162,3.645905760959585e-23,0.5044182828792145,1.9147401957027038e-22,7.64872521246459,0.0145669291338582
201,iDnes.cz 100% Corpus,1,15,100,5,1,25,0.0,0,0.4987319962553656,6.655062953738415e-22,0.5191201170843869,6.845076604076735e-24,7.64872521246459,0.0177165354330708
202,iDnes.cz 100% Corpus,1,10,50,8,0,20,1e-05,0,0.2558202915224158,2.8784665724334644e-06,0.2854620573404254,1.5724561898561958e-07,7.64872521246459,0.0074803149606299
203,iDnes.cz 100% Corpus,0,10,100,1,12,30,1e-05,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
205,iDnes.cz 100% Corpus,0,15,50,1,8,20,0.0,0,0.0291660840528775,0.6226817735264566,-0.0137569044999875,0.8164986911402013,18.69688385269122,0.0
206,iDnes.cz 100% Corpus,1,5,158,5,2,30,0.1,0,0.5295980198134755,1.1197418377804346e-24,0.526163124278402,2.5189555129157662e-24,8.78186968838527,0.0207967927837634
208,iDnes.cz 100% Corpus,0,15,250,12,2,25,0.0,0,0.0790793611566303,0.1568552035718655,0.0091860751724858,0.8695731939437005,8.78186968838527,0.0
209,iDnes.cz 100% Corpus,0,15,50,16,8,25,0.0,0,0.0291660840528775,0.6226817735264566,-0.0137569044999875,0.8164986911402013,18.69688385269122,0.0
210,iDnes.cz 100% Corpus,0,5,450,5,1,25,0.01,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
212,iDnes.cz 100% Corpus,0,5,158,4,0,25,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
213,iDnes.cz 100% Corpus,0,5,100,16,1,20,0.001,0,0.0540506376206531,0.3306167193936211,0.0076816962494066,0.8901092867469114,7.64872521246459,0.0
214,iDnes.cz 100% Corpus,0,15,200,4,2,30,0.001,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
215,iDnes.cz 100% Corpus,1,5,250,1,0,30,0.1,0,0.3760883571391146,2.157467407856297e-12,0.3518026727514508,6.245828743418427e-11,7.64872521246459,0.0003937007874015
216,iDnes.cz 100% Corpus,0,15,300,5,0,30,0.001,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
217,iDnes.cz 100% Corpus,0,10,200,16,8,30,0.0001,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
218,iDnes.cz 100% Corpus,1,10,300,12,1,25,0.0001,0,0.5726279156048786,8.506992030721234e-30,0.5573235498969513,5.354147781888461e-28,7.64872521246459,0.0173228346456692
219,iDnes.cz 100% Corpus,0,5,300,20,1,20,0.01,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
220,iDnes.cz 100% Corpus,0,5,200,1,5,25,0.0001,0,0.0424996402345603,0.4595968546678502,0.0105995439757035,0.8537324891991671,13.59773371104816,0.0
224,iDnes.cz 100% Corpus,1,5,250,8,5,20,0.0,0,0.5597347754394204,1.5126184847948794e-26,0.5537425344151526,6.614836901788654e-26,13.59773371104816,0.0263963274674827
226,iDnes.cz 100% Corpus,0,10,158,5,3,25,0.0,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
227,iDnes.cz 100% Corpus,1,10,450,16,8,25,0.001,0,0.5525674197636914,2.4085140578695724e-24,0.5532638098009679,2.053856436552204e-24,18.69688385269122,0.0303336703741152
229,iDnes.cz 100% Corpus,1,5,200,12,0,20,0.01,0,0.5316151749463354,3.542563934407185e-25,0.5144256509415277,2.0182805819570761e-23,7.64872521246459,0.0141732283464566
231,iDnes.cz 100% Corpus,1,5,158,16,1,20,0.01,0,0.5470981780567465,7.581532454885847e-27,0.531624088382597,3.5349324396039773e-25,7.64872521246459,0.0124015748031496
232,iDnes.cz 100% Corpus,0,15,100,1,8,20,1e-05,0,-0.0618906722064453,0.29605960907587,-0.1237656927678623,0.0361143960349587,18.69688385269122,0.0
233,iDnes.cz 100% Corpus,0,10,300,5,2,20,1e-05,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
234,iDnes.cz 100% Corpus,0,5,100,5,12,30,0.1,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
235,iDnes.cz 100% Corpus,0,15,250,8,12,25,0.001,0,0.1528645041596007,0.012064251071165,0.0785300911400281,0.199150671582968,23.79603399433428,0.0
237,iDnes.cz 100% Corpus,1,5,250,4,0,20,0.0001,0,0.4735421403955096,1.2650884189219892e-19,0.4827222881381838,1.9646960058750966e-20,7.64872521246459,0.0096456692913385
240,iDnes.cz 100% Corpus,1,15,450,16,5,30,0.01,0,0.5592861374980086,1.6910456621674354e-26,0.5807074849917055,6.784121997429537e-29,13.59773371104816,0.0233358837031369
242,iDnes.cz 100% Corpus,0,15,158,12,8,25,0.1,0,0.0042934959489526,0.9422681983934234,-0.0757098032010714,0.2009519615011809,18.69688385269122,0.0
243,iDnes.cz 100% Corpus,0,15,250,8,0,20,1e-05,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
244,iDnes.cz 100% Corpus,0,15,300,16,1,25,0.01,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
245,iDnes.cz 100% Corpus,1,15,158,16,2,30,0.0001,0,0.600329799107234,6.517422493230926e-33,0.6032050980867898,2.7230818879275872e-33,8.78186968838527,0.0285642696066148
246,iDnes.cz 100% Corpus,0,10,50,4,3,30,1e-05,0,0.0844160987028768,0.1343047067016611,0.0733692647500747,0.193318086857849,10.48158640226629,0.0
248,iDnes.cz 100% Corpus,1,15,100,12,2,25,0.01,0,0.5726584358061392,1.8790376852480905e-29,0.563775639726695,2.0728527477863947e-28,8.78186968838527,0.0223001753946379
249,iDnes.cz 100% Corpus,1,15,250,16,5,25,0.001,0,0.5595131559554095,1.5983068647887172e-26,0.5671851466883973,2.3157212170081704e-27,13.59773371104816,0.0229533282325937
250,iDnes.cz 100% Corpus,0,10,300,2,0,20,1e-05,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
252,iDnes.cz 100% Corpus,1,10,300,1,8,30,0.001,0,0.2642729272113886,5.666339898067761e-06,0.2342501261166946,6.148907368446174e-05,18.69688385269122,0.0015166835187057
254,iDnes.cz 100% Corpus,0,10,450,1,8,25,0.001,0,0.0767074011263325,0.1950635503624387,0.0053638247043087,0.9279113189880518,18.69688385269122,0.0
256,iDnes.cz 100% Corpus,1,5,250,12,12,30,0.001,0,0.5412285116597636,7.1524414814987055e-22,0.5460295158759728,2.6369438977251027e-22,23.79603399433428,0.0285326086956521
257,iDnes.cz 100% Corpus,1,10,100,20,8,25,0.1,0,0.5429159407870567,2.1089639674506576e-23,0.5635536322273805,1.8673713572384132e-25,18.69688385269122,0.0328614762386248
260,iDnes.cz 100% Corpus,0,15,200,12,2,30,0.1,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
261,iDnes.cz 100% Corpus,1,5,450,5,12,25,1e-05,0,0.4649934465880816,7.76543720929763e-16,0.4596587764489708,1.8144954195495417e-15,23.79603399433428,0.015625
262,iDnes.cz 100% Corpus,0,15,450,4,1,20,0.01,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
265,iDnes.cz 100% Corpus,0,15,158,20,2,25,1e-05,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
268,iDnes.cz 100% Corpus,1,10,100,8,1,25,0.0,0,0.5496442406091021,3.95218744598419e-27,0.5458759936749739,1.0344528813241484e-26,7.64872521246459,0.0244094488188976
269,iDnes.cz 100% Corpus,0,10,300,5,1,20,0.0001,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
271,iDnes.cz 100% Corpus,0,10,450,1,2,25,0.0001,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
272,iDnes.cz 100% Corpus,1,5,100,8,12,25,0.1,0,0.5486678077802417,1.5135036312124228e-22,0.5509920334405266,9.242653059353296e-23,23.79603399433428,0.029891304347826
274,iDnes.cz 100% Corpus,0,15,300,2,2,20,0.01,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
275,iDnes.cz 100% Corpus,0,5,158,4,1,20,0.01,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
276,iDnes.cz 100% Corpus,1,15,200,16,1,30,0.1,0,0.569837099003177,1.8400744884346413e-29,0.5604358179846526,2.34635495149834e-28,7.64872521246459,0.0244094488188976
277,iDnes.cz 100% Corpus,0,10,200,16,12,20,0.0,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
279,iDnes.cz 100% Corpus,1,5,50,5,12,25,1e-05,0,0.5199878440075921,4.907499157243439e-20,0.4947659912115132,5.13823146697521e-18,23.79603399433428,0.0244565217391304
281,iDnes.cz 100% Corpus,1,10,50,16,12,20,0.0,0,0.5706210961760814,1.2257923636131979e-24,0.5687087050985634,1.8917283293765647e-24,23.79603399433428,0.0441576086956521
282,iDnes.cz 100% Corpus,1,10,200,20,1,20,0.0001,0,0.5720985978197357,9.853044196791776e-30,0.5626253681172447,1.3063310231298429e-28,7.64872521246459,0.0163385826771653
283,iDnes.cz 100% Corpus,0,10,300,2,8,20,0.1,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
284,iDnes.cz 100% Corpus,1,5,250,12,12,30,0.001,0,0.5412285116597636,7.1524414814987055e-22,0.5460295158759728,2.6369438977251027e-22,23.79603399433428,0.0285326086956521
285,iDnes.cz 100% Corpus,1,10,100,20,8,25,0.1,0,0.5429159407870567,2.1089639674506576e-23,0.5635536322273805,1.8673713572384132e-25,18.69688385269122,0.0328614762386248
286,iDnes.cz 100% Corpus,0,5,300,16,12,30,0.01,0,0.1303895533057769,0.0325392087331584,0.0475783953095777,0.4370702612013544,23.79603399433428,0.0
288,iDnes.cz 100% Corpus,0,15,200,12,2,30,0.1,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
289,iDnes.cz 100% Corpus,1,5,450,5,12,25,1e-05,0,0.4649934465880816,7.76543720929763e-16,0.4596587764489708,1.8144954195495417e-15,23.79603399433428,0.015625
290,iDnes.cz 100% Corpus,0,15,450,4,1,20,0.01,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
291,iDnes.cz 100% Corpus,1,5,50,20,8,20,0.01,0,0.58376310900805,1.3089045230512163e-27,0.5861188541710972,7.176718083840515e-28,18.69688385269122,0.0338725985844287
292,iDnes.cz 100% Corpus,1,15,200,8,2,20,1e-05,0,0.3010081474771605,3.615487671685193e-08,0.3243072366036248,2.543006909792991e-09,8.78186968838527,0.0072663492858932
294,iDnes.cz 100% Corpus,0,5,450,12,12,30,0.0001,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
296,iDnes.cz 100% Corpus,1,10,100,8,1,25,0.0,0,0.5496442406091021,3.95218744598419e-27,0.5458759936749739,1.0344528813241484e-26,7.64872521246459,0.0244094488188976
298,iDnes.cz 100% Corpus,1,15,50,5,5,30,0.001,0,0.5227431381466202,8.664767108352025e-23,0.5271850959339107,3.240204487352781e-23,13.59773371104816,0.021805661820964
299,iDnes.cz 100% Corpus,0,10,450,1,2,25,0.0001,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
300,iDnes.cz 100% Corpus,1,5,100,8,12,25,0.1,0,0.5486678077802417,1.5135036312124228e-22,0.5509920334405266,9.242653059353296e-23,23.79603399433428,0.029891304347826
301,iDnes.cz 100% Corpus,0,15,158,12,2,25,1e-05,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
302,iDnes.cz 100% Corpus,0,15,300,2,2,20,0.01,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
303,iDnes.cz 100% Corpus,0,5,158,4,1,20,0.01,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
304,iDnes.cz 100% Corpus,1,15,200,16,1,30,0.1,0,0.569837099003177,1.8400744884346413e-29,0.5604358179846526,2.34635495149834e-28,7.64872521246459,0.0244094488188976
305,iDnes.cz 100% Corpus,0,10,200,16,12,20,0.0,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
306,iDnes.cz 100% Corpus,1,5,450,16,0,25,0.001,0,0.5690829269163022,2.2637754648315881e-29,0.5561313595060026,7.327319866201801e-28,7.64872521246459,0.014763779527559
307,iDnes.cz 100% Corpus,1,5,50,5,12,25,1e-05,0,0.5199878440075921,4.907499157243439e-20,0.4947659912115132,5.13823146697521e-18,23.79603399433428,0.0244565217391304
308,iDnes.cz 100% Corpus,1,5,450,4,8,25,0.001,0,0.4915097528099202,7.3277347820876645e-19,0.5052091892978935,5.3578481841336204e-20,18.69688385269122,0.018705763397371
309,iDnes.cz 100% Corpus,1,10,50,16,12,20,0.0,0,0.5706210961760814,1.2257923636131979e-24,0.5687087050985634,1.8917283293765647e-24,23.79603399433428,0.0441576086956521
310,iDnes.cz 100% Corpus,1,10,200,20,1,20,0.0001,0,0.5720985978197357,9.853044196791776e-30,0.5626253681172447,1.3063310231298429e-28,7.64872521246459,0.0163385826771653
312,iDnes.cz 100% Corpus,1,5,50,5,3,25,0.001,0,0.5342524677562026,1.0172976616300096e-24,0.5365055584304613,5.957568995574207e-25,10.48158640226629,0.0296296296296296
313,iDnes.cz 100% Corpus,0,15,200,4,0,20,0.0001,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
314,iDnes.cz 100% Corpus,0,5,250,5,1,20,0.001,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
316,iDnes.cz 100% Corpus,1,10,158,8,1,25,0.0001,0,0.5679998739132431,3.045606863651453e-29,0.554916482168335,1.0074654601527555e-27,7.64872521246459,0.0194881889763779
318,iDnes.cz 100% Corpus,1,5,450,12,8,20,0.01,0,0.5624873413572684,2.403418582895232e-25,0.5518234224827001,2.854163843299633e-24,18.69688385269122,0.0267947421638018
319,iDnes.cz 100% Corpus,1,10,158,4,2,25,0.1,0,0.4925940121664611,4.3650482293225816e-21,0.5045652263247329,3.3561839095997813e-22,8.78186968838527,0.0117764971185166
320,iDnes.cz 100% Corpus,0,5,300,4,12,30,0.01,0,0.1303895533057769,0.0325392087331584,0.0475783953095777,0.4370702612013544,23.79603399433428,0.0
321,iDnes.cz 100% Corpus,0,5,158,5,8,30,0.0,0,0.0042934959489526,0.9422681983934234,-0.0757098032010714,0.2009519615011809,18.69688385269122,0.0
322,iDnes.cz 100% Corpus,1,15,300,20,0,25,0.0001,0,0.5960311439028045,9.766436431117419e-33,0.591411120299393,3.8829991695815207e-32,7.64872521246459,0.0220472440944881
323,iDnes.cz 100% Corpus,1,10,300,1,12,25,0.0001,0,0.349319927136178,3.8817637898277824e-09,0.3469764292031483,5.005522454768597e-09,23.79603399433428,0.0040760869565217
324,iDnes.cz 100% Corpus,1,15,250,4,3,30,0.0001,0,0.5083084003203276,3.6463966585854383e-22,0.5313243457645997,2.027016315498155e-24,10.48158640226629,0.0142222222222222
325,iDnes.cz 100% Corpus,0,10,50,4,3,20,0.1,0,0.0844160987028768,0.1343047067016611,0.0733692647500747,0.193318086857849,10.48158640226629,0.0
326,iDnes.cz 100% Corpus,0,5,300,5,0,30,0.0,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
327,iDnes.cz 100% Corpus,0,5,100,5,12,20,0.0001,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
328,iDnes.cz 100% Corpus,1,5,100,1,12,30,0.001,0,0.3184794038123886,9.35716884433304e-08,0.3025005706528248,4.253388567446021e-07,23.79603399433428,0.0081521739130434
329,iDnes.cz 100% Corpus,1,10,100,4,3,25,0.001,0,0.4985378464371178,2.9416638825159136e-21,0.5135972130135618,1.144859962736474e-22,10.48158640226629,0.0171851851851851
330,iDnes.cz 100% Corpus,1,5,300,1,12,20,0.0,0,0.3267776509012189,4.11288876885831e-08,0.3177792926606935,1.0017838881392349e-07,23.79603399433428,0.0081521739130434
331,iDnes.cz 100% Corpus,0,15,200,16,12,25,0.01,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
333,iDnes.cz 100% Corpus,1,10,158,8,0,20,0.01,0,0.5220353236393468,3.467945692670149e-24,0.5132708680352458,2.6265603260836692e-23,7.64872521246459,0.0183070866141732
334,iDnes.cz 100% Corpus,0,5,50,20,5,25,0.0,0,0.0774376782276058,0.1773806233740311,0.071132325332181,0.2154412658337266,13.59773371104816,0.0
335,iDnes.cz 100% Corpus,0,15,50,1,2,20,1e-05,0,0.1416429403095265,0.0109387571690379,0.1203801058963536,0.0308034646995239,8.78186968838527,0.0
337,iDnes.cz 100% Corpus,1,10,50,16,12,25,1e-05,0,0.5823225159600788,8.094459266694837e-26,0.5550183956014189,3.897391996699288e-23,23.79603399433428,0.0373641304347826
338,iDnes.cz 100% Corpus,1,5,50,8,1,20,0.1,0,0.5180986477558596,8.673214028592484e-24,0.5157503261740037,1.490068556529245e-23,7.64872521246459,0.0163385826771653
339,iDnes.cz 100% Corpus,0,5,450,20,0,30,0.0,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
340,iDnes.cz 100% Corpus,0,15,50,5,8,20,0.1,0,0.0291660840528775,0.6226817735264566,-0.0137569044999875,0.8164986911402013,18.69688385269122,0.0
342,iDnes.cz 100% Corpus,1,10,300,2,12,25,1e-05,0,0.4455295974746971,1.601303951211584e-14,0.4568145532321164,2.8357059236201024e-15,23.79603399433428,0.0264945652173913
344,iDnes.cz 100% Corpus,0,15,250,20,5,30,0.0001,0,0.1028697657763498,0.0728246011303394,0.0504018657166375,0.3803921008917293,13.59773371104816,0.0
347,iDnes.cz 100% Corpus,1,5,158,8,0,30,0.0001,0,0.5738346395916877,6.0800468602595525e-30,0.5566905667652084,6.325602925111083e-28,7.64872521246459,0.0149606299212598
348,iDnes.cz 100% Corpus,1,10,50,12,1,30,0.0001,0,0.5866955667995724,1.5528597564988941e-31,0.5691077734809279,2.2483918751408077e-29,7.64872521246459,0.0196850393700787
349,iDnes.cz 100% Corpus,0,15,50,2,5,30,1e-05,0,0.0774376782276058,0.1773806233740311,0.071132325332181,0.2154412658337266,13.59773371104816,0.0
350,iDnes.cz 100% Corpus,0,10,158,20,0,30,1e-05,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
351,iDnes.cz 100% Corpus,0,5,200,20,12,25,0.1,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
353,iDnes.cz 100% Corpus,0,15,300,16,8,25,1e-05,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
355,iDnes.cz 100% Corpus,0,5,158,2,1,25,0.01,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
356,iDnes.cz 100% Corpus,1,10,450,12,12,25,1e-05,0,0.5857643356397796,3.563818811375643e-26,0.5698381332839492,1.4645907158869103e-24,23.79603399433428,0.0400815217391304
