,Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
546,iDnes.cz 100% Corpus,0,15,50,5,8,20,0.1,0,0.0291660840528775,0.6226817735264566,-0.0137569044999875,0.8164986911402013,18.69688385269122,0.0
548,iDnes.cz 100% Corpus,1,10,300,2,12,25,1e-05,0,0.4455295974746971,1.601303951211584e-14,0.4568145532321164,2.8357059236201024e-15,23.79603399433428,0.0264945652173913
549,iDnes.cz 100% Corpus,1,15,50,12,0,20,0.01,0,0.5482927414951615,5.588788081616411e-27,0.5428806239768555,2.203600978113768e-26,7.64872521246459,0.0196850393700787
550,iDnes.cz 100% Corpus,0,15,250,20,5,30,0.0001,0,0.1028697657763498,0.0728246011303394,0.0504018657166375,0.3803921008917293,13.59773371104816,0.0
551,iDnes.cz 100% Corpus,0,10,158,4,3,20,0.01,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
552,iDnes.cz 100% Corpus,1,10,158,4,8,25,0.0001,0,0.5306096576873045,3.036561540632505e-22,0.5445402658135032,1.4709630524612582e-23,18.69688385269122,0.0298281092012133
554,iDnes.cz 100% Corpus,1,10,50,12,1,30,0.0001,0,0.5866955667995724,1.5528597564988941e-31,0.5691077734809279,2.2483918751408077e-29,7.64872521246459,0.0196850393700787
557,iDnes.cz 100% Corpus,0,5,200,20,12,25,0.1,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
558,iDnes.cz 100% Corpus,0,5,50,4,1,25,1e-05,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
559,iDnes.cz 100% Corpus,0,15,300,16,8,25,1e-05,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
561,iDnes.cz 100% Corpus,0,5,158,2,1,25,0.01,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
562,iDnes.cz 100% Corpus,1,10,450,12,12,25,1e-05,0,0.5857643356397796,3.563818811375643e-26,0.5698381332839492,1.4645907158869103e-24,23.79603399433428,0.0400815217391304
563,iDnes.cz 100% Corpus,0,15,158,2,1,20,0.001,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
564,iDnes.cz 100% Corpus,0,10,250,5,1,25,1e-05,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
565,iDnes.cz 100% Corpus,0,10,100,2,5,20,0.1,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
567,iDnes.cz 100% Corpus,1,15,100,1,1,20,0.1,0,0.341007028592095,2.5497109576342e-10,0.3296118947525844,1.062438899707417e-09,7.64872521246459,0.001771653543307
568,iDnes.cz 100% Corpus,0,15,300,1,2,25,0.001,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
569,iDnes.cz 100% Corpus,0,10,450,5,1,30,0.0,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
570,iDnes.cz 100% Corpus,0,10,50,12,12,25,0.01,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
571,iDnes.cz 100% Corpus,0,5,300,12,3,20,0.0,0,0.1300240053319067,0.0207765432537697,0.1005042688258398,0.0744167514523903,10.48158640226629,0.0
573,iDnes.cz 100% Corpus,1,15,300,5,5,30,0.0001,0,0.5389007011562436,2.255306660397997e-24,0.5572544977606797,2.7959791211810625e-26,13.59773371104816,0.0256312165263963
574,iDnes.cz 100% Corpus,0,5,200,8,8,30,0.001,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
575,iDnes.cz 100% Corpus,1,5,50,20,8,20,0.0001,0,0.6033746826183884,7.544792736194036e-30,0.593407594720647,1.083472979073227e-28,18.69688385269122,0.0257836198179979
577,iDnes.cz 100% Corpus,1,15,450,8,12,30,0.001,0,0.5073342896805326,5.310788063394865e-19,0.5235004444280226,2.488929755900463e-20,23.79603399433428,0.0190217391304347
578,iDnes.cz 100% Corpus,1,10,450,12,2,20,0.1,0,0.5654038413148617,1.3421682011096096e-28,0.5566464301947205,1.3518314491619397e-27,8.78186968838527,0.0205462290152843
582,iDnes.cz 100% Corpus,1,15,250,1,5,25,1e-05,0,0.3849637972685588,3.265739571762432e-12,0.4164568483444613,3.1776972524973914e-14,13.59773371104816,0.0149196633511859
583,iDnes.cz 100% Corpus,0,5,100,20,5,30,0.01,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
585,iDnes.cz 100% Corpus,1,10,200,12,3,25,0.0001,0,0.5907298485228156,4.125094620862366e-31,0.5875234277011846,1.0286919356470963e-30,10.48158640226629,0.0248888888888888
586,iDnes.cz 100% Corpus,0,15,300,1,1,30,0.0001,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
587,iDnes.cz 100% Corpus,0,15,200,20,0,30,1e-05,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
590,iDnes.cz 100% Corpus,0,5,158,2,1,25,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
591,iDnes.cz 100% Corpus,0,5,50,12,0,25,1e-05,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
593,iDnes.cz 100% Corpus,0,5,200,5,8,25,0.0,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
595,iDnes.cz 100% Corpus,0,5,100,12,12,20,0.1,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
597,iDnes.cz 100% Corpus,1,15,100,8,12,25,0.0001,0,0.5818048717463352,9.149681234056876e-26,0.5763289545993607,3.300781979724174e-25,23.79603399433428,0.0326086956521739
598,iDnes.cz 100% Corpus,0,10,300,20,0,20,0.1,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
599,iDnes.cz 100% Corpus,1,15,200,8,0,30,0.0,0,0.5462089557169967,9.506043240162163e-27,0.5455750019696473,1.1165071415585295e-26,7.64872521246459,0.0210629921259842
600,iDnes.cz 100% Corpus,1,10,450,8,2,30,0.0001,0,0.571159066230899,2.83235868742845e-29,0.5615036523586439,3.786423188083988e-28,8.78186968838527,0.0253069406163868
601,iDnes.cz 100% Corpus,0,10,100,8,5,30,0.0001,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
603,iDnes.cz 100% Corpus,1,5,200,20,5,20,1e-05,0,0.4961751998486585,2.3235981453237152e-20,0.4927390099740034,4.6241846112547957e-20,13.59773371104816,0.01185921958684
606,iDnes.cz 100% Corpus,1,5,450,20,3,30,0.001,0,0.5667975026397232,2.980881026662349e-28,0.5618573339250297,1.086195020922053e-27,10.48158640226629,0.0231111111111111
608,iDnes.cz 100% Corpus,1,10,250,16,3,30,0.0001,0,0.6056166621518804,5.171027615753775e-33,0.6088970708490672,1.9094930722248706e-33,10.48158640226629,0.029037037037037
609,iDnes.cz 100% Corpus,0,10,158,4,8,30,0.1,0,0.0042934959489526,0.9422681983934234,-0.0757098032010714,0.2009519615011809,18.69688385269122,0.0
610,iDnes.cz 100% Corpus,1,10,100,5,2,20,0.1,0,0.5065826681067355,2.156408075377605e-22,0.515995971820503,2.6318560955917692e-23,8.78186968838527,0.022801302931596
611,iDnes.cz 100% Corpus,0,15,200,2,0,30,1e-05,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
613,iDnes.cz 100% Corpus,1,10,200,8,1,25,0.1,0,0.5460075261153289,1.0004915391277074e-26,0.5409311052042076,3.5902403141258475e-26,7.64872521246459,0.0198818897637795
615,iDnes.cz 100% Corpus,0,15,200,8,8,20,0.1,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
618,iDnes.cz 100% Corpus,0,15,450,2,0,25,0.1,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
619,iDnes.cz 100% Corpus,0,15,100,8,8,20,0.01,0,-0.0618906722064453,0.29605960907587,-0.1237656927678623,0.0361143960349587,18.69688385269122,0.0
620,iDnes.cz 100% Corpus,0,10,158,2,1,30,1e-05,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
621,iDnes.cz 100% Corpus,0,15,158,16,3,25,1e-05,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
624,iDnes.cz 100% Corpus,1,10,200,16,2,20,0.0001,0,0.5886429890914722,2.0696661046939063e-31,0.5738554495282996,1.3520825040611516e-29,8.78186968838527,0.0248058130794287
625,iDnes.cz 100% Corpus,1,15,50,4,1,25,0.0001,0,0.5312310628135882,3.887334546114592e-25,0.5364910445936412,1.0784895556293336e-25,7.64872521246459,0.0088582677165354
626,iDnes.cz 100% Corpus,0,10,158,4,3,25,1e-05,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
629,iDnes.cz 100% Corpus,1,10,300,12,8,25,0.1,0,0.5295765741371332,3.779909140636314e-22,0.5342651645262023,1.3907492037563657e-22,18.69688385269122,0.0262891809908999
630,iDnes.cz 100% Corpus,1,15,100,16,12,30,0.01,0,0.5013101942793632,1.5946312734211793e-18,0.5112623009192384,2.562592245196208e-19,23.79603399433428,0.0230978260869565
633,iDnes.cz 100% Corpus,0,5,200,1,5,25,0.01,0,0.0424996402345603,0.4595968546678502,0.0105995439757035,0.8537324891991671,13.59773371104816,0.0
637,iDnes.cz 100% Corpus,0,10,50,8,12,30,1e-05,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
640,iDnes.cz 100% Corpus,0,10,250,20,0,25,0.0001,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
642,iDnes.cz 100% Corpus,0,5,300,1,8,25,0.001,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
643,iDnes.cz 100% Corpus,1,10,450,12,12,30,0.01,0,0.5123491303796204,2.091172128541003e-19,0.5213291310716206,3.790319737311702e-20,23.79603399433428,0.0292119565217391
644,iDnes.cz 100% Corpus,1,5,200,2,8,25,0.1,0,0.4477559623508932,1.4791679594945826e-15,0.4591221251809357,2.2720244757925673e-16,18.69688385269122,0.0096056622851365
645,iDnes.cz 100% Corpus,0,10,158,4,1,30,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
646,iDnes.cz 100% Corpus,1,15,200,8,0,20,0.0001,0,0.5374969545531825,8.418063632107692e-26,0.5294683088958847,5.94420246562832e-25,7.64872521246459,0.0194881889763779
647,iDnes.cz 100% Corpus,1,15,200,8,12,25,0.0,0,0.5344068494900508,2.873396656305511e-21,0.5323000586224024,4.3869754318459764e-21,23.79603399433428,0.0271739130434782
648,iDnes.cz 100% Corpus,1,5,100,20,3,20,0.001,0,0.5645061532859966,5.444775656307551e-28,0.5517571257199294,1.429641969646979e-26,10.48158640226629,0.0195555555555555
649,iDnes.cz 100% Corpus,0,10,200,12,12,30,0.0,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
653,iDnes.cz 100% Corpus,0,10,158,2,12,30,0.0,0,0.0830767755345268,0.1742845259329768,0.0301539446995064,0.622457539315802,23.79603399433428,0.0
656,iDnes.cz 100% Corpus,1,10,158,12,0,25,0.001,0,0.5598620798220966,2.733559532006316e-28,0.5494442520734493,4.160523206836119e-27,7.64872521246459,0.0214566929133858
657,iDnes.cz 100% Corpus,0,15,250,8,5,30,0.01,0,0.1028697657763498,0.0728246011303394,0.0504018657166375,0.3803921008917293,13.59773371104816,0.0
659,iDnes.cz 100% Corpus,0,5,50,1,1,30,0.01,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
663,iDnes.cz 100% Corpus,1,10,50,12,8,25,0.0,0,0.5645296725320779,1.4810190670540212e-25,0.5739569089500515,1.5164794608624065e-26,18.69688385269122,0.0262891809908999
665,iDnes.cz 100% Corpus,1,10,300,8,0,25,0.001,0,0.5373234138123044,8.786216251113014e-26,0.5351199563709306,1.509745512117974e-25,7.64872521246459,0.0161417322834645
666,iDnes.cz 100% Corpus,0,5,158,16,2,20,0.0001,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
667,iDnes.cz 100% Corpus,0,5,100,1,5,25,0.01,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
668,iDnes.cz 100% Corpus,1,10,300,1,8,20,0.0,0,0.3140650559563747,5.463386678801243e-08,0.3054143968978794,1.305199605826958e-07,18.69688385269122,0.0050556117290192
672,iDnes.cz 100% Corpus,0,10,158,12,2,30,0.1,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
673,iDnes.cz 100% Corpus,1,15,450,16,2,20,0.1,0,0.5668571845764727,9.087260142345523e-29,0.5575115897572739,1.0792963483375343e-27,8.78186968838527,0.0215484840892007
674,iDnes.cz 100% Corpus,1,10,200,12,2,30,1e-05,0,0.5508005038602816,6.08441050502687e-27,0.5337371343748383,4.163490154131665e-25,8.78186968838527,0.0152843898772237
675,iDnes.cz 100% Corpus,1,15,450,4,5,30,0.001,0,0.4812228107884763,4.390378168085732e-19,0.4991849758158178,1.263552662514328e-20,13.59773371104816,0.0091813312930374
676,iDnes.cz 100% Corpus,1,5,100,16,3,20,0.01,0,0.5593877637858216,2.05648341519105e-27,0.5411969441795855,1.9300745659263137e-25,10.48158640226629,0.0219259259259259
677,iDnes.cz 100% Corpus,0,10,50,2,12,20,0.001,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
678,iDnes.cz 100% Corpus,1,5,450,1,5,30,0.001,0,0.3049775153857184,5.499875292088242e-08,0.3019770363695328,7.52247015394148e-08,13.59773371104816,0.0019127773527161
679,iDnes.cz 100% Corpus,0,5,200,5,2,25,0.0001,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
680,iDnes.cz 100% Corpus,1,5,50,5,5,30,0.0,0,0.520590350882997,1.388491634311803e-22,0.5378472364743325,2.878267635564393e-24,13.59773371104816,0.0283091048201989
681,iDnes.cz 100% Corpus,0,10,300,4,2,25,0.001,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
682,iDnes.cz 100% Corpus,0,5,450,12,8,25,0.1,0,0.0767074011263325,0.1950635503624387,0.0053638247043087,0.9279113189880518,18.69688385269122,0.0
684,iDnes.cz 100% Corpus,1,10,100,1,0,25,0.001,0,0.3751183670262488,2.4814585358678654e-12,0.3525627720579403,5.6453862282850193e-11,7.64872521246459,0.0007874015748031
685,iDnes.cz 100% Corpus,1,15,158,20,12,30,0.001,0,0.5038837609940071,9.995853190718382e-19,0.509358548606754,3.652369443142679e-19,23.79603399433428,0.0217391304347826
686,iDnes.cz 100% Corpus,0,10,200,5,5,20,0.1,0,0.0424996402345603,0.4595968546678502,0.0105995439757035,0.8537324891991671,13.59773371104816,0.0
687,iDnes.cz 100% Corpus,0,15,50,2,12,25,0.01,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
689,iDnes.cz 100% Corpus,0,15,450,1,8,20,1e-05,0,0.0767074011263325,0.1950635503624387,0.0053638247043087,0.9279113189880518,18.69688385269122,0.0
690,iDnes.cz 100% Corpus,1,5,200,8,5,20,0.01,0,0.5512185215338963,1.220620562194282e-25,0.5425724312110375,9.57394255968204e-25,13.59773371104816,0.0252486610558531
691,iDnes.cz 100% Corpus,0,10,100,20,12,30,0.0001,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
694,iDnes.cz 100% Corpus,0,5,158,1,8,30,1e-05,0,0.0042934959489526,0.9422681983934234,-0.0757098032010714,0.2009519615011809,18.69688385269122,0.0
696,iDnes.cz 100% Corpus,1,5,250,2,1,20,0.001,0,0.374128253398392,2.861028016794585e-12,0.3863557585186325,4.767121956864231e-13,7.64872521246459,0.0068897637795275
698,iDnes.cz 100% Corpus,1,5,450,4,1,25,0.0,0,0.4754351333346299,8.656112502368672e-20,0.4809194551966127,2.844867094555613e-20,7.64872521246459,0.0094488188976377
699,iDnes.cz 100% Corpus,0,15,450,4,3,25,0.0,0,0.0519076143299379,0.3577330073202929,-0.0265632224225705,0.638062186726347,10.48158640226629,0.0
702,iDnes.cz 100% Corpus,0,10,450,8,12,25,0.01,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
704,iDnes.cz 100% Corpus,0,10,450,1,1,30,0.0001,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
708,iDnes.cz 100% Corpus,1,5,100,8,2,20,0.0001,0,0.5617148103174905,3.5809256929220047e-28,0.5413080892754782,6.577663607809736e-26,8.78186968838527,0.0145326985717865
713,iDnes.cz 100% Corpus,1,5,158,12,5,30,0.0,0,0.5713866717883388,7.868179101895393e-28,0.5693646068099727,1.3253688757321651e-27,13.59773371104816,0.0229533282325937
714,iDnes.cz 100% Corpus,0,15,300,16,8,30,0.001,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
716,iDnes.cz 100% Corpus,1,15,158,8,8,25,0.0001,0,0.5643369288472618,1.550482553155764e-25,0.5761224392759475,8.891115558464113e-27,18.69688385269122,0.0358948432760364
717,iDnes.cz 100% Corpus,0,5,158,8,8,30,1e-05,0,0.0042934959489526,0.9422681983934234,-0.0757098032010714,0.2009519615011809,18.69688385269122,0.0
718,iDnes.cz 100% Corpus,0,5,450,1,1,25,0.0,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
720,iDnes.cz 100% Corpus,0,5,300,4,1,20,1e-05,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
722,iDnes.cz 100% Corpus,1,15,450,1,8,30,1e-05,0,0.4758417568968433,1.2682771491878029e-17,0.4677555656445262,5.2223424833382815e-17,18.69688385269122,0.0374115267947421
724,iDnes.cz 100% Corpus,1,15,200,8,8,25,0.01,0,0.5333861475454341,1.6794783519373692e-22,0.5363121643009741,8.94407212615332e-23,18.69688385269122,0.0237613751263902
725,iDnes.cz 100% Corpus,1,5,158,20,3,20,0.01,0,0.5642200994537632,5.868134001725359e-28,0.5576369502227836,3.2230131849209185e-27,10.48158640226629,0.018074074074074
727,iDnes.cz 100% Corpus,0,10,158,12,2,25,0.01,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
728,iDnes.cz 100% Corpus,0,5,200,4,1,30,1e-05,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
730,iDnes.cz 100% Corpus,0,15,200,20,3,25,0.0001,0,0.0538772921142466,0.3397588807550694,-0.0134839310247202,0.8112943539584446,10.48158640226629,0.0
731,iDnes.cz 100% Corpus,1,10,250,2,12,30,0.1,0,0.4153981472503711,1.2036997289659345e-12,0.4373670575399799,5.3851573808184577e-14,23.79603399433428,0.0067934782608695
732,iDnes.cz 100% Corpus,0,5,250,20,0,20,0.0,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
735,iDnes.cz 100% Corpus,1,15,300,12,8,25,0.0001,0,0.5670488127036403,8.113113766662454e-26,0.5666042075891884,9.025684211491048e-26,18.69688385269122,0.0374115267947421
737,iDnes.cz 100% Corpus,0,10,450,12,12,30,0.01,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
738,iDnes.cz 100% Corpus,0,5,200,4,5,25,0.0001,0,0.0424996402345603,0.4595968546678502,0.0105995439757035,0.8537324891991671,13.59773371104816,0.0
740,iDnes.cz 100% Corpus,0,5,300,5,1,20,0.001,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
741,iDnes.cz 100% Corpus,1,15,158,2,5,30,0.1,0,0.3901901326216866,1.5656204361412872e-12,0.3956494118723048,7.162733383736775e-13,13.59773371104816,0.0038255547054322
742,iDnes.cz 100% Corpus,1,15,100,4,12,30,0.01,0,0.4637101231040458,9.537243699801162e-16,0.4656335871796837,7.006532020483456e-16,23.79603399433428,0.0271739130434782
743,iDnes.cz 100% Corpus,1,5,450,1,5,25,0.0001,0,0.3920684994068469,1.198239541336759e-12,0.3945245769813035,8.424892443958454e-13,13.59773371104816,0.0053557765876052
744,iDnes.cz 100% Corpus,1,15,450,16,12,25,0.1,0,0.5372480953819333,1.6162788501582453e-21,0.5453566060155205,3.0357031694761263e-22,23.79603399433428,0.0319293478260869
745,iDnes.cz 100% Corpus,1,5,200,1,5,25,0.001,0,0.3328465784544126,2.524893497068141e-09,0.337248297314341,1.5073841425365103e-09,13.59773371104816,0.0045906656465187
746,iDnes.cz 100% Corpus,0,5,300,12,8,30,0.01,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
747,iDnes.cz 100% Corpus,1,15,250,2,3,30,0.01,0,0.3886786851991398,7.743290269245576e-13,0.4086588316600051,3.7693062879915496e-14,10.48158640226629,0.0035555555555555
748,iDnes.cz 100% Corpus,0,10,450,4,0,20,0.001,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
749,iDnes.cz 100% Corpus,1,5,450,20,2,30,0.1,0,0.5693826052475528,4.5932330352153715e-29,0.5615510977521864,3.7392587883727724e-28,8.78186968838527,0.0202956652468053
752,iDnes.cz 100% Corpus,1,5,158,16,12,25,0.01,0,0.5677395358959242,2.3544587312509845e-24,0.5683480525393655,2.0523871869770782e-24,23.79603399433428,0.03125
753,iDnes.cz 100% Corpus,1,15,250,5,5,30,0.0001,0,0.5427677490598698,9.144670598940667e-25,0.5579271993565201,2.3680553380414944e-26,13.59773371104816,0.0233358837031369
754,iDnes.cz 100% Corpus,0,10,158,4,5,20,0.01,0,-0.0162354050474607,0.7776417746685168,-0.1099593249228427,0.0550739230957569,13.59773371104816,0.0
755,iDnes.cz 100% Corpus,1,5,50,16,0,20,0.0001,0,0.5683249290402893,2.7864743093928e-29,0.5415194071737097,3.0995386458381043e-26,7.64872521246459,0.0108267716535433
