"","bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs upper CI","cs mean","cs lower CI","en upper CI","en mean","en lower CI","CS_Annotator_ 1","CS_Annotator_ 2","CS_Annotator_ 3","CS_Annotator_ 4","CS_Annotator_ 5","CS_Annotator_ 6","CS_Annotator_ 7","CS_Annotator_ 8","CS_Annotator_ 9","CS_Annotator_ 10","CS_Annotator_ 11","CS_Annotator_ 12","CS_Annotator_ 13","CS_Annotator_ 14","CS_Annotator_ 15","CS_Annotator_ 16","CS_Annotator_ 17","CS_Annotator_ 18","CS_Annotator_ 19","CS_Annotator_ 20","CS_Annotator_ 21","CS_Annotator_ 22","CS_Annotator_ 23","CS_Annotator_ 24","CS_Annotator_ 25"
"331","magician-wizard_kouzelník-čaroděj","magician-wizard","magician","wizard","kouzelník-čaroděj","kouzelník","čaroděj",9.55931702054616,9.172,8.78468297945384,9.81496782608628,9.01923076923077,8.22349371237526,10,9.5,9,8,9,10,6,10,10,9,8,9,9,9.9,9,9.9,9,8,9,9,10,10,10,10,9
"332","man-governor_muž-guvernér","man-governor","man","governor","muž-guvernér","muž","guvernér",6.1642004937053,5.18,4.1957995062947,6.39699582785142,5.25,4.10300417214858,7,3,3,4,3,2,9,0,9,6,4,9,5,9,5,6.5,4,5,4,4,6,3,8,5,6
"334","man-woman_muž-žena","man-woman","man","woman","muž-žena","muž","žena",9.15047291226975,8.58,8.00952708773025,9.41590583499279,8.296875,7.17784416500721,9,8,9,8.5,8,6,10,10,10,8,5,9,10,10,9,9,8,9,9,6,10,8,9,7,10
"335","Maradona-football_Maradona-fotbal","Maradona-football","Maradona","football","Maradona-fotbal","Maradona","fotbal",8.85060993631405,8.224,7.59739006368595,9.30387592426369,8.61538461538461,7.92689330650554,8,7,7,8,10,10,10,4,10,8,7,8,10,9.6,9,6,8,9,8,7,10,9,9,7,7
"336","marathon-sprint_maratón-sprint","marathon-sprint","marathon","sprint","maratón-sprint","maratón","sprint",7.99003723370462,7.348,6.70596276629538,8.09524110660947,7.46875,6.84225889339053,8,4,7,5,8,8,7,8,8,7,6,5,6,9.2,9,8,8,5.5,8,6,10,9,9,6,9
"339","Mars-scientist_Mars-vědec","Mars-scientist","Mars","scientist","Mars-vědec","Mars","vědec",6.62457588150943,5.704,4.78342411849057,6.95715596597486,5.625,4.29284403402514,4,2,7,5,8,1,10,3,8,8,3,7,6,7.6,5,6,7,7,7,3,7,7,3,6,5
"340","Mars-water_Mars-voda","Mars-water","Mars","water","Mars-voda","Mars","voda",6.14376052634386,5.232,4.32023947365614,4.31977899283685,2.9375,1.55522100716315,6,5,3,5,10,2,8,4,8,7,4,6,3,8.8,8,5,3,5,5,4,8,4,3,3,3
"342","media-gain_média-výtěžek","media-gain","media","gain","média-výtěžek","média","výtěžek",3.47589980032487,2.56,1.64410019967513,4.04041442308431,2.875,1.70958557691569,2,2,1,7,3,0,0,2,3,4,1,3,7,2,3,3,2,5,1,5,7,1,0,0,0
"345","media-radio_média-rozhlas","media-radio","media","radio","média-rozhlas","média","rozhlas",7.92773671313004,7.152,6.37626328686996,8.20171534577031,7.42307692307692,6.64443850038354,3,5,7,9,7,8,10,2,9.5,8,6,8,6,7.3,8,8,8,6,7,7,10,8,7,6,8
"346","media-trading_média-obchodování","media-trading","media","trading","média-obchodování","média","obchodování",4.20145625787029,3.32,2.43854374212971,5.11897976648299,3.875,2.63102023351701,4,4,2,7,1,1,0,0,4,6,1,6,5,6,2,5,6,5,4,2,4,3,3,2,0
"348","Mexico-Brazil_Mexiko-Brazílie","Mexico-Brazil","Mexico","Brazil","Mexiko-Brazílie","Mexiko","Brazílie",7.63252482290256,6.644,5.65547517709744,8.35465818231179,7.4375,6.52034181768821,8,4,7,4,7,1,10,3,9,8,6,8,3,8.6,7,8,9,5,9,5,10,8,4.5,6,8
"351","midday-noon_poledne-dvanáctá","midday-noon","midday","noon","poledne-dvanáctá","poledne","dvanáctá",9.28010510102478,8.792,8.30389489897522,10.0682265184202,9.28846153846154,8.50869655850283,9,6,8,8,9,9,10,10,9,8,7,10,10,9.8,7,9,8,9,9,8,10,10,10,7,10
"352","mile-kilometer_míle-kilometr","mile-kilometer","mile","kilometer","míle-kilometr","míle","kilometr",8.49895226342096,8.016,7.53304773657904,9.01658936510429,8.65625,8.29591063489571,9,7,8,7,7,9,9,6,9,7,6,8,9,9.9,8,9,7,7,8,7,10,8,9.5,7,9
"353","minister-party_ministr-strana","minister-party","minister","party","ministr-strana","ministr","strana",7.38947328366647,6.642,5.89452671633353,7.71920753421357,6.625,5.53079246578643,4,3.5,6,6,8,9,10,7,10,6,7,7,4,7.3,3,7,8,6.25,8,6,5,8,7,6,7
"354","ministry-culture_ministerstvo-kultura","ministry-culture","ministry","culture","ministerstvo-kultura","ministerstvo","kultura",7.42499298987129,6.36,5.29500701012871,5.73021879134953,4.6875,3.64478120865047,4,2,0,1,8,8,9,3,8,7,8,8,9,9,5,7,8,6,7,8,8,6,9,5,6
"356","minority-peace_minorita-mír","minority-peace","minority","peace","minorita-mír","minorita","mír",4.11852890736023,3.28,2.44147109263977,4.78332818314054,3.6875,2.59167181685946,6,0,4,3,3,1,9,0,4,6,3,4,5,2,2,3,3,4,5,1,5,3,2,2,2
"357","money-bank_peníze-banka","money-bank","money","bank","peníze-banka","peníze","banka",8.2643203779347,7.78,7.2956796220653,9.14095052701574,8.5,7.85904947298426,9,8,7,8.5,7,8,10,6,9,6,6,8,8,9,7,8,7,8,8,7,10,8,9,6,7
"358","money-cash_peníze-hotovost","money-cash","money","cash","peníze-hotovost","peníze","hotovost",9.20270189614431,8.784,8.36529810385569,9.69693542228606,9.15384615384615,8.61075688540625,7,8,8,9,10,9,10,8,10,8,9,9,8,9.6,8,9.5,9,7,8,7,10,10,9.5,9,10
"3581","money-cash_peníze-hotovost","money-cash","money","cash","peníze-hotovost","peníze","hotovost",9.20270189614431,8.784,8.36529810385569,9.9121299904623,9.07692307692308,8.24171616338385,7,8,8,9,10,9,10,8,10,8,9,9,8,9.6,8,9.5,9,7,8,7,10,10,9.5,9,10
"359","money-currency_peníze-měna","money-currency","money","currency","peníze-měna","peníze","měna",8.12429693654397,7.532,6.93970306345603,9.83272637008404,9.03846153846154,8.24419670683903,7,5,7,8,9,5,10,4,8,8,8,7,6,8.8,8,7.5,8,7,8,6,9,9,9,8,8
"360","money-deposit_peníze-vklad","money-deposit","money","deposit","peníze-vklad","peníze","vklad",7.48917183511878,6.84,6.19082816488122,8.47717403674162,7.73076923076923,6.98436442479684,7,4,6,6,9,8,9,5,9,5,5,8,7,9,8,7,6,7,8,6,9,6,4,6,7
"361","money-dollar_peníze-dolar","money-dollar","money","dollar","peníze-dolar","peníze","dolar",8.56651420032632,8.08,7.59348579967368,9.19188270312775,8.42307692307692,7.65427114302609,9,7,7,8.5,10,9,9,5,10,8,7,8,9,8.5,7,7,8,8,7,8,10,9,8,7,8
"362","money-laundering_peníze-praní","money-laundering","money","laundering","peníze-praní","peníze","praní",7.1046941212484,6.18,5.2553058787516,7.09965766451081,5.65384615384615,4.2080346431815,9,4,2,5,9,9,9,6,2,7,4,7,6,8,8,6,4,7,7,6,9,2,7.5,5,6
"363","money-operation_peníze-operace","money-operation","money","operation","peníze-operace","peníze","operace",5.79984320302463,4.984,4.16815679697537,4.17588051887796,3.30769230769231,2.43950409650666,7,2,5,4,8,4,8,6,7,6,3,6,4,7.6,3,5,6,6,6,3,6,5,4,0,3
"365","money-possession_peníze-vlastnictví","money-possession","money","possession","peníze-vlastnictví","peníze","vlastnictví",7.28686603397449,6.62,5.95313396602551,8.043441511264,7.28846153846154,6.53348156565908,6,3,5,8,9,5,9,6,9,5,6,9,7,8,7,5,6,7,6,4,8,7,7.5,6,7
"366","money-property_peníze-majetek","money-property","money","property","peníze-majetek","peníze","majetek",7.81493561062154,7.24,6.66506438937846,8.21953676406554,7.57307692307692,6.9266170820883,6,4,5,7,7,8,10,7,9,7,5,9,7,7,9,8,7,7,7,7,9,6,8,7,8
"367","money-wealth_peníze-bohatství","money-wealth","money","wealth","peníze-bohatství","peníze","bohatství",8.6223839134029,7.988,7.3536160865971,9.09315058402934,8.26923076923077,7.4453109544322,6,6,8,9,7,10,10,5,10,7,8,9,8,9.2,9,9,8,5,8,6,10,8,9.5,7,8
"368","money-withdrawal_peníze-výběr","money-withdrawal","money","withdrawal","peníze-výběr","peníze","výběr",7.08109000107422,6.34,5.59890999892578,8.15551279255908,6.88461538461539,5.61371797667169,6,4.5,5,8,7,9,9,3,7,7,5,8,8,8,8,5,6,5,7,6,9,4,5,3,6
"370","monk-oracle_mnich-věštba","monk-oracle","monk","oracle","mnich-věštba","mnich","věštba",3.39682798368582,2.536,1.67517201631418,6.25793817372218,5,3.74206182627782,1,1,2,3,1,10,2,0,3,4,2,4,2,5.4,2,4,2,2,3,1,0,2,4,3,0
"373","monk-slave_mnich-otrok","monk-slave","monk","slave","mnich-otrok","mnich","otrok",3.56974755061321,2.64,1.71025244938679,1.55018239373248,0.923076923076923,0.295971452421368,1,1,1,5,1,0,0,0,8,4,2,3,0,6,3,6,1,2,5,2,4,1,5,4,1
"374","month-hotel_měsíc-hotel","month-hotel","month","hotel","měsíc-hotel","měsíc","hotel",3.20256135125361,2.308,1.41343864874639,2.70878129234311,1.8125,0.916218707656888,2,1,1,0,0,0,5,0,5,7,1,1,0,6.7,4,2,1,3,3,3,4,1,0,2,5
"377","morality-importance_moralita-význam","morality-importance","morality","importance","moralita-význam","moralita","význam",4.48545494295968,3.372,2.25854505704032,4.50748672177914,3.3125,2.11751327822086,3,2,1,6,3,0,3,1,7,5,1,7,5,8.3,5,2,4,7,3,2,0,1,8,0,0
"379","morality-marriage_moralita-manželství","morality-marriage","morality","marriage","moralita-manželství","moralita","manželství",4.99105417654524,3.868,2.74494582345476,4.63511152164128,3.6875,2.73988847835872,7,2,5,4,4,0,0,1,9,5,1,7,5,8.7,5,4,2,6,5,4,7,2,3,0,0
"382","movie-critic_film-kritik","movie-critic","movie","critic","film-kritik","film","kritik",7.71065616718479,7.068,6.42534383281521,7.92425223781492,6.73076923076923,5.53728622372354,7,4,6,6,5,8,10,6,9,7,5,8,7,9.7,8,7,7,5,7,6,10,7,8,7,7
"384","movie-popcorn_film-popkorn","movie-popcorn","movie","popcorn","film-popkorn","film","popkorn",6.9463784796184,6.048,5.1496215203816,7.42296770335288,6.19230769230769,4.96164768126251,3,7,5,7,4,0,10,3,8,6,5,6,7,9.2,4,6,7,7.5,8,4,7,7,7.5,6,7
"385","movie-star_film-hvězda","movie-star","movie","star","film-hvězda","film","hvězda",7.98129604656259,7.18,6.37870395343741,8.26684528634147,7.38461538461539,6.5023854828893,7,1,6,7,9,9,10,8,9,8,5,6,5,9,8,6,8,8,7,7,10,8,6.5,7,5
"386","movie-theater_film-divadlo","movie-theater","movie","theater","film-divadlo","film","divadlo",7.91812923091249,7.184,6.44987076908751,8.69188270312775,7.92307692307692,7.15427114302609,8,4,7,7,7,7,9,6,8,8,6,9,9,9.6,2,8,6,6,7,6,10,7,8,6,9
"387","murder-manslaughter_vražda-zabití","murder-manslaughter","murder","manslaughter","vražda-zabití","vražda","zabití",8.99931098198352,8.656,8.31268901801648,9.40004159742801,8.525,7.64995840257199,9,8,7,8.5,9,7,10,8,10,8,8,9,9,9.9,9,9.5,8,8,8,9,9,8,9.5,9,9
"388","museum-theater_muzeum-divadlo","museum-theater","museum","theater","muzeum-divadlo","muzeum","divadlo",7.09444564254594,6.144,5.19355435745406,8.16944745511531,7.1875,6.20555254488468,8,2,7,6,6,0,9,7,6,8,4,8,4,8.6,5,8,6,3,7,6,10,5,7,5,8
"389","music-project_hudba-projekt","music-project","music","project","hudba-projekt","hudba","projekt",3.71841210643698,2.78,1.84158789356302,4.67055150178859,3.625,2.57944849821141,1,3,0,5,8,0,5,0,1,6,5,3,5,6.5,2,2,3,3,3,0,0,3,3,1,1
"390","nature-environment_příroda-životní prostředí","nature-environment","nature","environment","příroda-životní prostředí","příroda","životní prostředí",8.04538331393297,7.356,6.66661668606703,8.80737397733178,8.3125,7.81762602266822,7,4,6,7,8,7,10,4,9.5,7,7,9,10,8.9,8,7.5,8,7,7,6,10,5,8,6,7
"392","nature-man_příroda-člověk","nature-man","nature","man","příroda-člověk","příroda","člověk",7.94272963219475,7.144,6.34527036780525,7.13097049651683,6.25,5.36902950348317,7,2.5,5,9,8,8,9,3,9,8,8,8,8,9.3,6,7,8,9.8,6,6,10,5,6,6,7
"394","network-hardware_síť-hardware","network-hardware","network","hardware","síť-hardware","síť","hardware",7.38581425140736,6.484,5.58218574859264,8.67488560168486,8.3125,7.95011439831514,6,1,7,7,6,8,10,7,9,8,2,8,9,8.1,7,7,6,2,7,5,8,6,7,6,5
"396","news-report_noviny-zpráva","news-report","news","report","noviny-zpráva","noviny","zpráva",7.94599783453056,7.536,7.12600216546944,8.73768686511822,8.15625,7.57481313488178,7,7,7,7,8,8,8,9,9,6,6,8,9,8.9,8,7.5,7,6,7,8,9,8,7,6,7
"401","noon-string_poledne-vlákno","noon-string","noon","string","poledne-vlákno","poledne","vlákno",1.15566322650865,0.672,0.188336773491354,1.00754473435601,0.538461538461538,0.0693783425670679,0,0,0,1,0,0,0,0,0,3,1,0,1,1.8,0,3,0,2,4,0,0,0,0,0,0
"402","observation-architecture_pozorování-architektura","observation-architecture","observation","architecture","pozorování-architektura","pozorování","architektura",3.37338615360419,2.64,1.90661384639581,5.40228718794461,4.375,3.34771281205539,0,3,1,4,5,0,3,0,3,4,2,5,2,4,1,2,2,6,2,3,0,5,2,5,2
"403","oil-stock_ropa-akcie","oil-stock","oil","stock","ropa-akcie","ropa","akcie",7.00989289458874,6.28,5.55010710541126,7.12640343981444,6.34375,5.56109656018556,6,4,3,7,7,5,10,7,8,7,3,7,7,9,7,6,6,4,6,5,7,8,8,6,4
"407","OPEC-country_OPEC-země","OPEC-country","OPEC","country","OPEC-země","OPEC","země",6.57657409193405,5.748,4.91942590806595,6.77405691815319,5.625,4.47594308184681,7,6,4,4,6,3,6,3,9,8,3,7,8,8.7,7,5,7,5,7,3,9,4,3,5,6
"408","OPEC-oil_OPEC-ropa","OPEC-oil","OPEC","oil","OPEC-ropa","OPEC","ropa",8.80089527012763,7.976,7.15110472987237,9.08230809800707,8.59375,8.10519190199293,7,7,8,9,10,10,10,3,10,6,9,9,9,9.9,3,7,9,9.5,9,7,10,7,6,8,7
"409","opera-industry_opera-průmysl","opera-industry","opera","industry","opera-průmysl","opera","průmysl",1.74030716909728,1.14,0.539692830902717,3.68850219523497,2.625,1.56149780476503,1,3,0,2,0,0,0,0,0,2,2,0,0,2,0,5.5,2,2,1,0,1,1,4,0,0
"410","opera-performance_opera-vystoupení","opera-performance","opera","performance","opera-vystoupení","opera","vystoupení",7.32487632109344,6.7,6.07512367890656,7.84054507574176,6.875,5.90945492425824,8,5,7,8,7,8,10,6,8,6,4,8,7,8,4,6.5,6,7,6,7,9,4,6,6,6
"412","peace-atmosphere_mír-atmosféra","peace-atmosphere","peace","atmosphere","mír-atmosféra","mír","atmosféra",3.9229239287495,3.112,2.3010760712505,4.94425342479635,3.6875,2.43074657520365,1,1,2,2,5,4,5,0,6,6,1,6,4,4.3,2,3,1,5,2,2,3,2,5.5,5,0
"413","peace-insurance_mír-pojištění","peace-insurance","peace","insurance","mír-pojištění","mír","pojištění",3.24258305947547,2.4,1.55741694052453,4.17528247291914,2.9375,1.69971752708086,3,0,3,6,1,0,5,0,6,2,1,6,3,2,1,4,2,4,5,0,2,2,2,0,0
"414","peace-plan_mír-plán","peace-plan","peace","plan","mír-plán","mír","plán",4.68109273841292,3.716,2.75090726158708,5.82456911341493,4.75,3.67543088658507,2,0,5,2,5,4,9,2,3,7,3,3,5,5.4,2,2,3,2,5,1,9,3,0.5,5,5
"416","phone-equipment_telefon-výbava","phone-equipment","phone","equipment","telefon-výbava","telefon","výbava",4.73826078625436,3.8,2.86173921374564,7.80252497265699,7.125,6.44747502734301,6,3,4,4,7,0,0,0,4,6,3,7,7,2,6,4,2,5,5,2,7,2,4,1,4
"417","physics-chemistry_fyzika-chemie","physics-chemistry","physics","chemistry","fyzika-chemie","fyzika","chemie",7.90770114338584,7.336,6.76429885661416,8.23037150083551,7.34615384615385,6.46193619147218,9,6,7,7,7,6,10,6,5,8,6,8,7,8.9,7,8.5,8,5,8,6,10,8,8,6,8
"418","physics-proton_fyzika-proton","physics-proton","physics","proton","fyzika-proton","fyzika","proton",7.91396339920765,7.192,6.47003660079235,8.96241928768564,8.11538461538461,7.26834994308359,7,7,5,7,8,7,10,2,9,7,6,8,8,9.8,8,7.5,8,4.5,8,6,10,7,7,6,7
"419","plane-car_letadlo-auto","plane-car","plane","car","letadlo-auto","letadlo","auto",7.6886719625117,6.98,6.2713280374883,6.59315058402934,5.76923076923077,4.94531095443219,8,6,7,8.5,6,4,9,2,8,8,8,8,4,8.5,7,8,7,5,8,6,9,8,7.5,7,7
"421","planet-astronomer_planeta-astronom","planet-astronomer","planet","astronomer","planeta-astronom","planeta","astronom",8.1956966727834,7.688,7.1803033272166,8.73250976157559,7.94230769230769,7.1521056230398,7,7,7,8,8,10,10,6,10,8,8,8,7,8.7,5,7,8,7.5,6,7,9,8,7,8,7
"423","planet-constellation_planeta-souhvězdí","planet-constellation","planet","constellation","planeta-souhvězdí","planeta","souhvězdí",7.57316424788987,6.896,6.21883575211013,8.66872759609204,8.05769230769231,7.44665701929258,6,4,7,7,7,3,10,5,8,8,5,7,7,8.9,8,7.5,6,8,7,6,10,8,6,6,7
"424","planet-galaxy_planeta-galaxie","planet-galaxy","planet","galaxy","planeta-galaxie","planeta","galaxie",8.25325486550438,7.82,7.38674513449562,8.93791217601395,8.11153846153846,7.28516474706297,7,7,7,8,9,6,10,8,9,8,8,7,9,8.5,7,8,7,8,7,8,10,8,6,7,8
"425","planet-moon_planeta-měsíc","planet-moon","planet","moon","planeta-měsíc","planeta","měsíc",7.49489126852821,6.7,5.90510873147179,8.86527151457569,8.07692307692308,7.28857463927046,6,4,7,7,9,5,0,5,9,8,8,6,8,8.5,7,8,7,5,7,6,7,9,7,7,7
"426","planet-people_planeta-lidé","planet-people","planet","people","planeta-lidé","planeta","lidé",7.13579372074226,6.468,5.80020627925774,6.82456911341493,5.75,4.67543088658507,7,4,5,8,8,5,9,7,7,8,7,7,7,8.7,7,5,3,6,6,7,9,7,5,5,4
"427","planet-space_planeta-vesmír","planet-space","planet","space","planeta-vesmír","planeta","vesmír",8.44185428404807,8,7.55814571595193,8.85309881143622,7.92307692307692,6.99305503471762,7,6,7,8,9,9,10,8,9,8,9,6,8,8.5,7,7,8,9,8,7,10,8,8.5,7,8
"428","planet-star_planeta-hvězda","planet-star","planet","star","planeta-hvězda","planeta","hvězda",8.46687115983061,7.82,7.17312884016939,9.28006405699092,8.45384615384615,7.62762825070139,8,2,7,7,9,8,10,8,9,7,6,8,9,8.5,9,8.5,8,8,7,7,10,8,7.5,7,9
"429","planet-sun_planeta-slunce","planet-sun","planet","sun","planeta-slunce","planeta","slunce",8.28497244640851,7.744,7.20302755359149,8.79561117337768,8.01923076923077,7.24285036508386,8,7,7,7,9,5,10,8,9.5,7,6,9,10,8.6,7,7.5,8,7,7,7,10,8,6,7,8
"431","population-development_populace-rozvoj","population-development","population","development","populace-rozvoj","populace","rozvoj",6.92874116976745,6.144,5.35925883023256,4.85924151214233,3.75,2.64075848785767,5,5,6,4,9,9,2,6,4,7,7,8,6,8.6,7,5.5,6,7.5,6,6,10,3,6,5,5
"432","possibility-girl_možnost-dívka","possibility-girl","possibility","girl","možnost-dívka","možnost","dívka",2.551270416449,1.8,1.048729583551,2.79602603125595,1.9375,1.07897396874405,0,0.5,0,1,1,0,2,0,2,6,1,5,3,4.5,4,1,1,5,1,3,2,1,1,0,0
"434","practice-institution_postup-instituce","practice-institution","practice","institution","postup-instituce","postup","instituce",4.57050104997162,3.492,2.41349895002838,4.25710317052599,3.1875,2.11789682947401,5,0,6,3,9,5,0,1,3,8,1,7,2,6.3,2,2,1,6,5,2,4,1,3,5,0
"437","precedent-antecedent_precedent-antecedent","precedent-antecedent","precedent","antecedent","precedent-antecedent","precedent","antecedent",7.17716043735118,5.82,4.46283956264882,7.85746637990952,6.03846153846154,4.21945669701356,6,8,0,9,4,7,9,10,8,7,1,8,8,9.5,2,8,9,8,9,5,2,2,4,2,0
"438","precedent-cognition_precedent-vědomí","precedent-cognition","precedent","cognition","precedent-vědomí","precedent","vědomí",3.6669008814034,2.752,1.8370991185966,4.43264416422432,2.80769230769231,1.18274045116029,2,6.5,0,4,1,3,0,3,9.5,6,1,2,3,4.3,1,2,2,3,1,4,2,2,4.5,0,2
"444","precedent-collection_precedent-soubor","precedent-collection","precedent","collection","precedent-soubor","precedent","soubor",3.16838582031876,2.332,1.49561417968124,4.06028027507265,2.5,0.939719724927352,3,2,1,5,2,0,0,0,6,2,1,3,3,4.3,1,5,0,5,3,5,0,2,5,0,0
"445","precedent-example_precedent-příklad","precedent-example","precedent","example","precedent-příklad","precedent","příklad",7.22015826098212,6.088,4.95584173901788,7.79019284634445,5.84615384615385,3.90211484596324,4,4,8,2,5,2,9,6,9.5,10,5,9,4,9.2,9,8,6,5,9,4,1,6,9.5,5,3
"446","precedent-group_precedent-skupina","precedent-group","precedent","group","precedent-skupina","precedent","skupina",3.44246774501334,2.46,1.47753225498666,3.03088516426552,1.76923076923077,0.507576374196016,8,1,0,1,3,0,0,0,5,8,2,4,4,3,2,4,1,4,5,3,0,1,2.5,0,0
"447","precedent-information_precedent-informace","precedent-information","precedent","information","precedent-informace","precedent","informace",3.41163434072184,2.56,1.70836565927816,5.39853772500691,3.84615384615385,2.29376996730078,4,2,2,2,3,0,0,0,8,4,3,6,4,2,2,4,1,2,6,2,1,1,4,1,0
"448","precedent-law_precedent-zákon","precedent-law","precedent","law","precedent-zákon","precedent","zákon",7.38131063208326,6.588,5.79468936791674,7.85222251067676,6.65384615384615,5.45546979701555,7,2,5,6,5,9,10,7,7,7,4,7,7,8.7,9,8,8,3,8,8,6,5,7,5,6
"452","prejudice-recognition_předsudek-rozpoznání","prejudice-recognition","prejudice","recognition","předsudek-rozpoznání","předsudek","rozpoznání",4.58803170038543,3.576,2.56396829961457,4.24588042422466,3,1.75411957577534,2,1,6,2,6,0,9,0,4,6,1,7,3,6.4,1,2,1,6,2,2,4,3,5,5,5
"453","preservation-world_zachování-svět","preservation-world","preservation","world","zachování-svět","zachování","svět",4.79455402986053,3.64,2.48544597013947,7.10465818231179,6.1875,5.27034181768821,6,2,1,4,8,5,0,0,7,7,1,2,3,9,2,5,4,6,5,2,8,1,0,2,1
"454","president-medal_prezident-medaile","president-medal","president","medal","prezident-medaile","prezident","medaile",5.80917183511878,5.16,4.51082816488122,4.13455065855414,3,1.86544934144586,5,4,4,7,3,6,9,5,6,5,2,7,5,6,3,6,4,5,4,4,8,6,5,5,5
"455","problem-airport_problém-letiště","problem-airport","problem","airport","problém-letiště","problém","letiště",3.73560408195312,2.776,1.81639591804688,3.50746316707365,2.375,1.24253683292635,6,1,1,1,6,0,9,0,3,6,1,4,3,4.4,3,3,1,3,4,2,5,1,1,1,0
"456","problem-challenge_problém-výzva","problem-challenge","problem","challenge","problém-výzva","problém","výzva",6.622026301631,5.424,4.22597369836901,7.80231889607373,6.75,5.69768110392627,2,3,4,5,7,1,9,0,9,7,2,7,6,9.6,3,7.5,3,6,8,3,9,2,7.5,6,9
"457","production-crew_produkce-štáb","production-crew","production","crew","produkce-štáb","produkce","štáb",7.63113614055338,6.86,6.08886385944662,7.37617747652714,6.25,5.12382252347286,6,4,7,4,7,7,10,6,6,8,5,8,10,9,8,6,6,5,7,5,10,4,9.5,7,7
"463","production-hike_produkce-výlet","production-hike","production","hike","produkce-výlet","produkce","výlet",1.94178940811298,1.272,0.602210591887016,2.63097049651683,1.75,0.869029503483171,4,0,0,1,2,0,0,0,2,5,1,0,4,0.8,0,3,1,4,3,0,1,0,0,0,0
"464","professor-cucumber_profesor-okurka","professor-cucumber","professor","cucumber","profesor-okurka","profesor","okurka",1.07663695605441,0.6,0.123363043945591,0.688654426342635,0.307692307692308,-0.07326981095802,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,1,0,2,4,0,0,0,0,0,0
"465","professor-doctor_profesor-doktor","professor-doctor","professor","doctor","profesor-doktor","profesor","doktor",7.72351095484318,6.872,6.02048904515682,7.65588397463344,6.61538461538461,5.57488525613579,8,4,6,4,6,9,10,3,9,8,4,7,8,9.3,4,8,7,7,7,4,10,6,8.5,7,8
"466","profit-loss_zisk-ztráta","profit-loss","profit","loss","zisk-ztráta","zisk","ztráta",8.98917883616294,8.36,7.73082116383706,8.98179502001686,7.625,6.26820497998314,8,8,7,8,8,9,10,10,9,8,5,10,10,10,8,9,7,5,9,7,10,9,9,6,10
"467","profit-warning_zisk-varování","profit-warning","profit","warning","zisk-varování","zisk","varování",2.65674870757875,2.06,1.46325129242125,5.17842685446018,3.875,2.57157314553982,2,1,2,1,2,0,2,0,5,2,1,3,3,4,1,2,2,2,4,1,4,4,3.5,0,0
"468","psychology-anxiety_psychologie-úzkost","psychology-anxiety","psychology","anxiety","psychologie-úzkost","psychologie","úzkost",7.22280529327574,6.46,5.69719470672426,7.88090224122707,7,6.11909775877293,7,7,5,6,8,8,10,4,8,8,4,7,7,4,7,7,5,5,6,3,10,5,8.5,7,5
