slug,category_title,doc2vec_best_of_variants,tfidf,word2vec-cswiki-eval-1,word2vec-eval-1,word2vec-eval-2,word2vec-eval-3,word2vec-eval-4,word2vec-fasttext-full-text
abych-unikla-stresu-nasla-jsem-si-dumaci-lavicku-rika-sperkarka-prokic,Vztahy,0.72,0.35,0.6,0.43,0.26,0.3,1.0,0.04
cesi-zivotni-pojisteni-podcenuji-radeji-zajisti-auto-byt-nebo-elektroniku,Finance,0.73,0.75,0.7,0.86,1.0,0.88,0.73,0.25
chripkova-sezona-muze-letos-nemile-prekvapit-jak-se-na-ni-pripravit,Zdraví,0.64,0.69,0.44,0.77,1.0,0.86,0.72,0.21
co-vite-o-rakovine-soutezte-v-kvizu-a-vyhrajte-knihu,Zdraví,0.87,0.89,0.68,0.79,0.61,0.93,0.88,0.2
comebacky-soky-a-ukoncena-trapeni-zlin-i-liberec-slavi-sparta-zkolabovala,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88
derby-slavii-vyhral-v-edenu-trebicsky-lidr-litomerice-padly-se-sokolovem,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84
deset-tipu-pro-zdravi-oci-vetrejte-cvicte-a-ctete-s-prestavkami,Zdraví,0.72,0.73,0.42,0.6,0.8,0.59,0.33,0.23
detem-kterym-pomahate-moc-mozek-nepracuje-spravne-rika-specialni-pedagozka,Vztahy,0.4,0.77,0.64,0.3,0.62,0.83,0.36,0.08
drive-schovavala-a-ujidala-cokoladu-dnes-ma-martina-zelenou-lednici,Zdraví,0.87,0.64,0.63,0,0.5,0.99,0.68,0.12
el-clasico-na-hristi-barcelony-ovladl-real-v-cele-zustava-san-sebastian,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14
gabriela-koukalova-exmanzel-me-podvadel-a-myslim-ze-utracel-me-penize,Vztahy,0.67,0.78,0.59,1.0,0.64,0.44,0.88,0.0
hokejovy-utocnik-stransky-zaridil-peti-goly-vyhru-davosu-v-bernu,Sport,1.0,0.91,1.0,0.71,1.0,1.0,0.79,0.59
home-office-dava-vetsi-volnost-zamestnance-vsak-stoji-mesicne-1-400-korun,Finance,0.6,0.84,0.64,0.64,0.61,1.0,0.55,0.5
hral-na-me-kina-jak-je-hodnej-popsala-kriminalnika-vymenena-manzelka,Vztahy,0.19,0.94,0.84,0.99,0.85,0.96,0.91,0.46
hypoteky-dal-zdrazuji-urokove-sazby-mohou-atakovat-az-4procentni-hranici,Finance,0.95,0.99,0.87,0.98,1.0,1.0,0.94,1.0
jake-jsou-danove-povinnosti-kdyz-vlastnite-ci-pronajimate-nemovitost,Finance,0.8,1.0,0.95,0.98,0.99,1.0,0.95,0.7
kapesne-pro-deti-komu-patri-penize-na-detskem-uctu-a-jaky-vybrat,Finance,0.69,0.68,0.62,0.97,0.78,0.86,0.97,0.08
komentar-horecka-prasivych-dluhopisu-nekonci-obezretnost-je-namiste,Finance,0.75,0.73,0.91,0.86,0.99,0.98,0.69,0.1
lyon-prohospodaril-dvoubrankovy-naskok-a-prohral-pariz-st-germain-ma-bod,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78
macaulay-culkin-se-stal-poprve-otcem-syna-pojmenoval-po-zesnule-sestre,Vztahy,0.81,0.32,0.63,0.17,0.35,0.81,0.07,0.36
matej-stropnicky-zil-s-sestinasobnou-matkou-jeho-partner-hlidal-jeji-deti,Vztahy,0.5,0.76,0.39,0.5,0.79,0.39,1.0,0.0
nahubky-ktere-chrani-jak-je-vybrat-a-jak-o-ne-pecovat,Zdraví,0.57,0.72,0.76,0.97,0.58,0.98,1.0,0.44
nemoc-leci-vztahy-v-rodinach-rika-lekar-umirajicich,Zdraví,0.82,0.83,0.07,0.33,0.92,0.79,0.39,0.06
nevera-nemusi-vzdy-znamenat-konec-nebojte-se-dat-vztahu-jeste-sanci,Vztahy,0.62,0.6,1.0,0.82,0.45,0.81,0.66,0.16
osm-mytu-o-oparech-pomuze-zubni-pasta-chlad-a-imunita,Zdraví,0,0.67,0.45,0.69,0.65,0.87,1.0,0.0
pastrnak-hertl-a-kubalik-se-strelecky-prosadili-zadina-asistoval,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39
plzen-po-tesnych-vyhrach-spustila-kanonadu-sparta-se-stestim-slavia-ztratila,Sport,1.0,1.0,0.92,1.0,0.93,1.0,0.67,0.41
pozor-na-pusu-tyto-osemetne-vety-svobodne-zene-nikdy-nerikejte,Vztahy,0.21,0.47,0.41,0.33,0.31,0.45,0.34,0.0
pribeh-marka-zena-chce-dite-ja-karieru,Vztahy,0.81,0.94,0.34,0.48,0.77,0.64,0.16,0.23
proc-obezni-prohravaji-s-covidem-proplouvaji-systemem-byvaji-podvysetreni,Vztahy,0.76,0.48,0.56,0.59,0.75,0.99,0.43,0.0
prodej-zbrani-po-deseti-letech-stagnuje-nizsi-export-hlasi-rusko-i-cina,Finance,0.72,0.73,0.69,0.38,0.65,0.82,0.43,0.11
rec-krevnich-skupin-co-o-nas-vypovidaji-a-ovlivnuji-prubeh-nemoci-covid-19,Zdraví,0.45,0.78,0.57,1.0,0.55,0.92,1.0,1.0
salah-pomohl-hattrickem-ztrapnit-united-soucek-byl-u-vyhry-nad-tottenhamem,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87
sparta-boleslav-10-hoste-zahazovali-tutovky-v-nastaveni-je-trestal-hlozek,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42
top-5-nejlepsich-beznych-uctu-jednickou-je-moneta-prekvapila-cs,Finance,0.96,0.8,0.57,0.77,0.92,0.78,0.73,0.0
tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,0.38,0.7,0.69,0.26,0.75,0.76,0.58,0.0
za-znalosti-v-kvizu-vyhrali-masazni-kurz-i-kloubni-vyzivu-zkuste-ho-take,Zdraví,0.89,0.82,0.84,0.92,1.0,0.84,0.99,0.06
zacha-rozhodl-o-vyhre-new-jersey-voracek-simon-a-palat-asistovali,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98
zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to,Zdraví,0.71,0.75,0.91,0.84,0.58,0.94,0.8,0.2
zdrazil-vam-dodavatel-elektrinu-nebo-plyn-brante-se-moznosti-je-nekolik,Finance,0.63,0.81,0.99,0.99,0.68,0.97,0.9,0.24
